Bus yahi sapna mujhe baar baar aata thaki main udh raha hoon aakash mein pakshi ki tarah | STD
Bauji yeh na issko kahte hai male menpause, samajh rahe ho na. jab lagta hai ki abhi zindagi mein kuchh aur rang nahi raha hai tabhi aisa hota hai | DEL
Mid life crisis hai Raje bhai | DEL
Bauji aap toh sab kuch ‘hoga’ ke haath saunp rahe ho Kuchh nishchit hai ki nahi? | STD
Yeh toh nishchit hai | STD
Arey hai! Sabki chutti hai office band hai School band hai itwaar hai aaj | STD
Bhai SAB maante hain ki aaj itwaar hai, toh koi wajah se hi na maante hain kisi baat ko | STD
Yeh toh ek suvidha ka sadhan hai jaise ki bhaasha | STD
Sabne maan liya ke ‘Pha’ ke baad ‘La’ laga ke ‘phal’ shabd banega aur phal ka matlab hoga | STD
Haan theek baat hai sab phal ko phal bolenge tabhi toh na baatcheet kar sakenge | STD
nahi toh aap bolo phal aur mai samjhu atom bomb toh baat kaise hogi | DEL
Itna bura laga na mere ko sab ke sab hans rahe the bauji ke upar jaise ki bauji sathiya gaye ho | EUP
man kar raha tha jootey se maaru sab ko | STD
Abki baar tumhari report hui na toh khoob jamkar kutai hogi | EUP
Toh chal na mere ghar chal na | STD
Chal bhaag chaltey hai | STD
Aa ha ha.. bada aaya bhaagne waala.. dhat! Koi akl ki baat kiya kar kabhi toh | DEL
Nahin main toh kabhi gaya nahi na Amsterdam | STD
Toh jitni jaankari thi maine unhe bata diya sab | STD
Lekin yeh main kaise kisi ko bol sakta hoon ki Amsterdam jo hai Netherlands mein hai flight aath ghante mein pahunchegi | STD
Matlab main yeh yakeen kaise dila sakta hoon sir kisi aur ko | STD
Arre lekin flight ka departure aur arrival time toh hai na website pe | STD
Sir aap samajh nahi rahe hai | STD
Kya nahi samajh raha hoon main? | STD
Tum gaye kahan ho? London gaye ho? | STD
Toh kya khaali Shimla ka ticket kaatoge? | STD
International tour bandh kar doon kya? | STD
Tumhara kaam booking karne ka hairaasta naapne ka nahi hai | STD
Jaaiye ticket banaiye | STD
Dus mein se saat sawal toh tune kare he nahi toh phir mujhe kya dikha raha hai? | STD
Baaki ke teen? | STD
Ek sahi hai do galat | STD
Paper kab milega? | STD
Mujhe nahi karni hai padhai likhai | STD
Phir kya hoga 12000 ki naukri call centre mein? | STD
Teri fees ke paise bhi bach jaayenge | STD
Kyun Padhoon main | STD
Mujhe koi saala doctor engineer thodhe he banna hai. Jabardasti ki saali padhai. | DEL
Ro mat darling. ek kaam karghar chhodh ke bhaag jaa | DEL
Saare platform ghoom kar wapas aa gaya. | STD
Kya hua koi bhi train achhi nahi lagi | STD
Tere bhi na nakhre bahut hai.. Hain? | DEL
Cigarette piyega? | DEL
Hey Bhagwan, bura mat manna Bhagwan | STD
Unka mann saaf hai Maaf kar dena Bhagwan | STD
Tum toh daya ke sagar ho | STD
Hello.. Haan jee.. Hold kijiye zara | DEL
Hello.. Jee.. Dekhiye Delhi se Colombo ki flight hai aisa yahan dikha rahe hain yeh 21 taarikh ko | STD
Aisa mera anumaan hai shat pratishat sach toh main yeh bhi nahi jaanta ki aap Mr.Sharma he hain | STD
Mere paas toh kuch pramaan nahi hai na | STD
Dekhiye main pagal hoon ya nahin yeh toh kewal aapka anumaan he hai | STD
Pi bhi lo beta thandi ho jaayegi | STD
Apsey milne ko aaya hai | STD
Bahut achhi chai hai | STD
Main banata hoon toh hamesha strong ho jaati hai | DEL
Main kah raha tha main shaadi karna chahta hoon | STD
Tera kaam waam ka kuchh pata nahin hai Aamdani ka kuch jariya hai tera | DEL
LIC ka agent hoon chacha Woh toh chal hi raha hai | DEL
Aur yes ek exam diya hai, sales tax department mein. Gorment job ke liye | DEL
Pagal hai kya? | STD
Abhi pichhle somwar ko toh diye the pachaas rupaye | STD
Maa khatam ho gaye do na bees rupaye | DEL
Tum logo ko dard nahi hai paise ka | STD
College se sidha ghar aa jaiyo | DEL
Kya kar rahe ho? Taiyaar nahin hona hai? | STD
Kaise masar masar haath chala rahe ho? | DEL
Phir bhagoge Yeh lo tiffin | STD
Jhoot mat bolo | STD
Tumhari khisak gayi thi | DEL
Bade hi cute lag rahe the tum | DEL
Toh ghar chal na | STD
Picture chalein? | DEL
Tere ko picture thode hi dekhni hoti hai | DEL
Office ke kaam se kuchh yahan | STD
Lekin tum yahan kya kar rahe ho? | STD
School nahi gaye? | STD
Hum logo ka project report hai botany ka phool patte | DEL
Arre koyi kuchh bolega ke nahi? | STD
Aapkey office mein phone kiya tha | STD
Haan chhodh diya kaam humney | DEL
Kitney aaram se kah diya chhodh diya woh bhi dus din ho gaye chhodhe huye kisi ko kaanokaan khabar nahi | DEL
Arre jaruri hai kya har baat batana har kisi ko? | STD
Dekho aisa kaam main kaise karoon jahan logo se baar baar jhooth | STD
Tum kaun se satyavadi Harishchandra ho? | STD
Dus din se jaake park mein baithe rahte ho saara saara din apney ghar mein sabse jhoot bolkey ki office jaa rahe ho | DEL
woh jhooth bolne mein tumko koi taqlif nahi hoti hai | HUM
Aur kaam mein zara sa jhooth bolna padta hai toh kaam he chhodh aaye | DEL
Arre bhai uss jhoot mein aur iss jhoot mein bada phark hai | STD
Haan so toh hai hi na | DEL
Uss jhoot ki tankhwah milti thi tumhe,mahiney ke mahiney thodha paisa aata tha haath mein | STD
killat mein hi jitey the lekin, jaise taise kharcha toh nikal jaata tha | DEL
Lekin aap toh khaandani raees hain | DEL
Aapki toh dada pardaada ki zameen hai, jaaydaad hain, soney ki khan hain | STD
Ab khaana sab soney ki intey aur chandi ke sikke | STD
Ek din main bhi sab chhodh chaadh ke chali jaungi | STD
Arre bahut kar li naukri chakri | DEL
Pahle do log kama key lane waale the tab nahi poora padta tha | STD
Tum kamao baaki sab khayenge? | STD
khaana sab puri chhe chapati khaate hain kaam karne ko koyi taiyaar nahi | DEL
Woh kyun nahi naukri kar leta hai? | STD
Sab ke sab muh baaye khadhe rahte hain | DEL
Tum baat kyun nahi karte ho? Bol kyun nahi dete ho? | STD
Yeh maine chhodha aur yeh gira | DEL
ab iskey pichhey kya kahani hai woh mujhe nahi pata | STD
Woh mujhe nahi pata – tujhe bhi nahi pata bus itna pata hai ki yeh chhoota mere haath se toh girega aur toot jayega | STD
Lao idhar do glass chhodh mat dena abhi | DEL
Yeh mera jaancha hua sach hai mera jiya hua satya | STD
Utho abhi jhadhoo ponchha kuchh nahi hua hai subah se | STD
Haan Bauji lekin agar saari cheezein girti hain toh uska koi karan hoga sidhant toh hoga | STD
Sidhant insaan ke hote hain | STD
Arre apne sidhant ke chalte toh bauji ne naukri bhi chhodh di | DEL
Pahle toh din mein ek aadh ghante aram karne ko mil jata tha ab toh yeh saara din ghar pe mandli | DEL
Jaise ki prithvi gol hai | STD
Yeh gol dikh rahi hai tere ko? Yeh gol hai? | STD
Bhai sapaat hai dekh main chal raha hoon | DEL
Dekh. Gol hoti toh.. main gir na jaata tha | DEL
Arre Bauji bahut bada gol hai | DEL
Dekho yeh tarbooz dekho gol hai na? | STD
Haan bhai so toh dikh raha hai gol na Uss se bhala inkar kaisa? | DEL
Lekin yeh jo keeda hai, usey toh yeh gol nahi dikhta hai Uskey drishtikon se toh yeh sapaat hi hai na | STD
Toh Bauji samajh lo yeh tarbooz prithvi hai aur aap jo ho | DEL
Main keeda hoon yahi kah raha hai na tu? | DEL
Theek hai bhai | DEL
Ab keeda hoon toh keede ke drishtikon se hi toh dekhoonga na | DEL
Yeh toh bahas ke liye bahas ho gayi Bauji Jo baat sab sweekar karte hain aap uss se kyon ulajh rahe ho? | DEL
600 saal pehle sab mante the ki prithvi sapaat hai Phir who gol ho gayi. 400 saal baad phir sapaat ho jayegi. | DEL
Lekin aadmi tab bhi chalta tha, aur aaj bhi chalta hai | STD
Chalo maan liya tum jo kah rahe ho who theek hai. Maan liya maine Lekin uss se mere jeevan par kya asar padhega | STD
kuein ke mendhak jaisi baat karte ho | STD
Hoon mendhak. Lekin apne kuein se parichit toh hoon. | STD
Use jaanne ki koshis toh kar raha hoon | DEL
Kabhi saala keeda bolta hair mere ko, kabhi mendhak | DEL
Yehi sikhaya hai tere maa baap ne tere ko, hain? | DEL
Jaahil kahin ka! Pair neeche kar ke baith! | DEL
Neeche kar pair.. Bada aaya hainga | DEL
Paise hain – meri pahli kamai! | STD
Khush raho Jaa apni amma ke haath mein de de | STD
Arre sun! Dikha kitne hain? | DEL
Paanch hajaar | STD
Jaa amma ko de de | STD
Jug jug jiyo beta jug jug jiyo. Shabaash | STD
Maa sau rupaye toh de do mujhe. | STD
Baavle hain Bauji lekin kuchh na kuchh naya angle nikal ke laate hain | DEL
Haan hai na padhai kar raha hai | STD
Arre kya kar rahe ho? Kya hua kya hai? | DEL
Inse puchho yehi batayenge batao apni amma ko.. batao! | STD
Dus din se school nahi gaya hai ganit mein fail hai | STD
report sign karana padega humse kar ke school he nahi jaa rahe hain | DEL
Hum saale gadhe ke bachche hai jo inki fees bhar rahe hai har mahine | DEL
Ab bus bhi karo chhota ladka nahi hai itne bade ladke pe haath uthate ho bhaag jaayega ek din | DEL
Arre toh bhaag ja na naamuraad! | DEL
Dekho toh haramjaade ko | DEL
kaise ghoor raha hai dheedh ke jaise dekho isko! | DEL
Fail kara dia aapne ladke ko? | DEL
Nahi kya karta dus mein se saat sawal toh chhodh he diya in mahanubhav ne | DEL
Na koi tedha prashna hai na medha | DEL
Kuchh bhi out of course nahi hai.. Check kar lijiyega | DEL
Suniye yeh ladka hoshiyaar hai mehnati hai baaki saare vishayon mein number iskey achhe aaye hai ek aapke ganit mein | STD
Mera ganit? Mera ganit nahi hai yeh sir. Yeh CBSE ka ganit hai | STD
Ramesh sir yeh galat sab sikha rahe hain aap bachcho ko | STD
Do samantar rekhayen infinity pe milti hain prove karo | DEL 
yeh sawaal hai? Sawal hai koi? | STD
Samantar rekhayen to samantar hain ek doosre se kabhi nahi mil sakti saath mein | STD
Dekhiye main aapse bahas nahi karna chahta. | STD
Kaise karenge bahas jab aapke ganit ki buniyaad he galat hai | STD
Pahle aap bataiye agar do rekhayne ek dooosre se mil gayi toh samantar kaise hain woh? Bataiye..! | STD
Arey kahne ka yehi matlab hai infinity pe milti hai yaani ki kabhi nahi milti hain | DEL
Wahi toh main kah raha hoon kabhi mil he nahi sakti hain | STD
Rail ki patri dekhi hai aapne? | STD
Kabhi milti hain do patriya – Kabhi ek ho jaati hai kya? | STD
Arre aisi ki taisi tumhari infinity ki! | DEL
Baat karte ho! Tumne dekha hai infinity? Kabhi gaye ho wahan pe? | DEL
Yeh ganit hai.. | STD
Yeh galat hai jab woh do rekhayen mil gayi toh phir saman antar kahan raha unmein? | STD
Watchman bahar nikalo inko. | STD
Arre jaa rahein hain chal Ashok chal! | DEL
Lanat hai iss school pe lanat hai aisi shiksha pe. | STD
Kitni tankhwah hai tumhari..? | STD
Kitni pagar hai? | STD
Agle mahine se aadhi ho gayi toh kitni milegi? | STD
Aadhi ho gayi toh? | STD
Yeh ganit haiisko bhi samajh aati hai yahin baithe baithe kahin infinity pe jaane ki zarurat nahi hoti hai..Samjhe? | DEL
Lekin sir humne kuchh nahi kiya.. Ram kasam | DEL
600 mein kaise guzara hoga humara..? | DEL
Kya ho gaya..? | STD
Satyanaash! Ekdum garam kadhai yahan beech mein chhodh gayi! | DEL
Dekh zara haath dekh | STD
Tsk jal gaya kya? | STD
Jal gaya? Chhaala padh raha hai | STD
Tune yahan bahar kaahe ko rakhi thi? | EUP
Arre abhi teil palta tha usmey se.. | EUP
Teil palat ke yahan chhodh diya beech mein taaki sab haath senk le apne? | DEL
Lao yeh barf laga lo | STD
Achha abhi rahne de theek hai? | DEL
Chhaala padh gaya hai.. | STD
Har cheez mein kalesh! | DEL
Kya boli? Main kar rahi hoon kalesh? | DEL
Main kalesh kar rahi hoon? Zakhm padh gaya hai haath mein jitna main chup rahoon, chup rahoon, utna he sab dabao mere ko | DEL
Achhha theek hai na bhabhi ho gaya | DEL
Haan haan ho gaya iss baar agli baar ubalta tail he daal dijiyo mere sar pe theek hai? | DEL
Kyun bhai Raje babu aajkal darshan nahi hote aapke | DEL
Bhagwaan ki zarurat nahi rahi aapko? Hain? Ki vishwas hi uth gaya? Kahin naastik toh nahi ho gaye? | DEL
Nahi Pandit jee Maine ek phaisla kiya hai ki jis sach ko main dekh nahi sakta usey main nahi swikarunga. | STD
Toh kya chahte ho Bhagwaan swayam prakat ho jaaye tumhare samne? | STD
Aisa kuchh prabandh karwa sakte hain Pandit jee? | STD
Jyada sayane ho gaye ho Raje babu? | DEL
Na dharm mein vishwas rah gaya hai no ishwar mein | STD
Mujhe pass kar diya tayaji. | DEL
Wah mere bete wah! | DEL
Khao bhai munh meetha karo Itni badhiya khabar sunayi hai mere bachhe ne | DEL
Tune udhar liya hua hai? | STD
Jee chuka doonga… | STD
Nahi chuka toh tu dega hi! | DEL
Udhari ka jua nahi hota hai samjha? | DEL
Aur main jo hai bank nahi chala raha hoon chala raha hoon kya? | DEL
Tere 28,000 rupaye chadh gaye hain.. Kab dega? | DEL
Bhai apse kuchh baat karni thi.. | DEL
Nahi kuchh nahi.. Main soch raha tha ki woh..Hum log doosri koi jagah.. Shayad se.. Dekhne ki soch rahe the | STD
Kya kah raha hai? Alag honey ki kah raha hai? | DEL
Bolo na soch kya rahe the.. Itne saal toh ho gaye.. | STD 
Abhi thodha apni jagah ho toh achha hai na | STD
Kya ho gaya Rishi? Kuchh baat huyi hai? | STD
Kisi ne kuchh kah diya hai kya? | STD
Nahi bhabhi baat kuch nahi huyi hai.. Bus aise hi | DEL
Arre aise hi thodhe hi kucch hota hai. Aise hi ho gaya ? | STD
Saath rehne ka ek matlab hota hai | STD
Sub ko lagta hai pariwaar hai.. | STD
Hum ek doosre ke lagte hain kuchh.. Kuchh rishta hai.. | STD
Haan bhai rishta toh phir bhi rahega hi na | DEL
Haan lekin ek chulha hone ka maayne hai koi | EUP
Bhai lekin woh bhi ek soch hai na! | DEL
Aap toh baat karte ho anubhav ki. Toh apna anubhav dekhe, ki..? | STD
Kya taqlif ho rahi hai tere ko achanak? | HUM
Itne saal se theek tha | STD
Abhi kya anubhav ho gaya tera aisa ki ghar he chhodh ke chale jaaoge | DEL
Doosra ghar itni asani se nahi milta hai aajkal! | STD
Aaj tak toh socha nahi na in sab ke bare mein..Dekhne jaoge toh pata chalega | STD
Woh ghar pakka kar liya hai | STD
Idhar he hai Hukma halwai ke peechhey wali gulli mein.. Paas he hai | DEL
Kab jaa rahe ho..? | STD
Itwaar ko.. | DEL
Theek hai phir sub kuchh soch he liya hai tumne toh theek hai phir jao.. | DEL
Poochh nahi rahe the bata rahe the.. | DEL
Aa gaye thele waale.. | DEL
Aa he jayenge kah rahe hain jaldi haath chalao thodha.. | EUP
Suno bahu.. | DEL
Uss din hum tum par chilla diye the, isliye ghar chhodh ke jaa rahe ho kya tum log? | EUP
Nahi bhabhi woh baat nahi hai. |  DEL
Toh phir kaun si baat hai bolo..! Dekho koyi galti ho gayi ho, toh hum haath jod ke maafi maang rahe hain tumse.. | EUP
Arre bhabhi kyun humarey sar pe paap chadha rahi ho? Maafi hum aapse mangenge ki aap mangogi humse.. | EUP
Toh phir kyun jaa rahe ho tum log..? | DEL
Pata nahi hai tumko inka kya haal hoga | DEL
Aise koi aadhe mein haath chhodh ke alag ho jaata hai kya? | DEL
Arey bhabhi kahan jaa rahein hum? | DEL
Idhar hi toh hai na jor se awaaz bhi dogi toh sunayi padh jayegi | DEL
Bula lena kabhi bhi aadhi raat ko bhi, aa jaayenge. | DEL
Aise rokey bhejogi..? | DEL
Khush raho tum log khoob phoolo phalo.. | DEL
Jaa rahe ho? Achha hai, achha hai khush raho beta.. | DEL
Achha bhai aata hoon.. | DEL
Arre jaa rahein hain.. | DEL
Toh kya karoon, naachun? | DEL
Chal chal raasta naap apna! Tera kaise ho gaya kamra? | DEL
Kyunki main pahle thi line mein.. | DEL
Suno Miss paraya dhan abhi thodhe time mein tum bhi chhodh chhaadh ke chali jaaogi.. | DEL
Toh tab aa jaiyo na yahan abhi toh rahne de, please.. Bhai nahi hai tu mera? | DEL
Chal achha, yeh raag kisi aur ko sunana.. | DEL
Main jaake Bauji ko bolti hoon. | STD
Ab aaiyo tu chai maangne mere se.. | DEL
So jao kal subah uth ke phir matam mana lena! | STD
Hello.. haan kaun? Haaan ek minute | DEL
Kyun bhai aaj kya haal hai? Aap kyun udaas ho bhai? | DEL
Theek hai na, chalta hai, sardi phir garmi phir basant yeh toh tumsey behtar kaun jaanta hai? | STD
Aur tum Bhaiya..? | DEL
Achha yeh jo tumhari prem kahaniya bikhar gayi hai unhe utha loon? | STD
Bahut bahut dhanyawaad.. | STD
Kuchh bole tere Bauji? | DEL
Toh tu poochh le na unsey.. | STD
Tere ko samajh mein nahi aata kya kuchh? | DEL
Tere ko bataya na Chacha ghar chhodh ke chale gaye hain.. | DEL
Toh Bauji ekdum akeley padh gaye hain Samjha? | DEL
Aur phir main bhi chhodh ke chali jaoon unko? Unsey bardaasht hi nahi hoga.. | STD
Toh phir humaara kya hoga? | STD
Kuchh nahi hoga. Aise hi shopping kar ke timepass karenge aur kya. | DEL
Abhi sado mat Jo hai so bata rahi hoon | DEL
Meri marzi nahi chalti hai har cheez mein | DEL
Bauji koyi koyi kahta hai ki ek gyaan hota hai jo ki paidaish se saath rahta hai anubhav ke parey. | STD
aise ki kachua baalu par nikalta hai andey se aur nikalte he samudra ki taraf bhaagta hai | STD
Cheel aur baaz se bachne ke liye | STD
Lekin! Usey yeh kaise pata hai ki samudra mein pahunch ke woh surakshit hoga Woh toh abhi paida hi hua hai na. | STD
Achha jee aisa hota hai..? Yeh toh achambhe ki baat hai | STD
Toh Bauji Kya kahte ho aap? | DEL
Bhai jaisi jiski marzi.. | DEL
Yeh achhi kahi.. Haan..? Ha ha jaisi jiski marzi | DEL
Dekh rahe ho? Teen din ho gaye hain, aise he chalta ja raha hai utt patang bakk bakk bakk bakk | DEL
Haan dikhaya na dawai di hai | DEL
Doctor ko dikhaya? | STD
