Objection. Aapne to suspense novel likhna shuru kar diya? | STD
Kya yeh suicide thi, ya unki hatya ki gayi? Forensic report ka ab besabri se intezar hain. | STD
Siras shayad zinda rehte hue itni badi story nahi ban paye, jitni ki maut mein ban gaye. Aakhir mein woh har newspaper ke front page par aa gaye... | STD
...aur kuch hi dino mein, Professor Siras gayab bhi ho gaye, surkhiyon aur breaking news ke behte samundar mein. | STD
Waah, kamaal hai. Hum yakeen kar lein? | STD
Ji. Yakeen keejiye. Uncle main Geet ko aapke ghar le kar aoonga. | STD
Kab? | STD
Dus din ke andar. | STD
Hum aise jaane waale nahin hain. | STD
Main vaadaa karta hoon. Dus din mein Geet ko le kar Bhatinda aoonga. | STD
Theek hai. | STD
Veerjitheek kya hai? Iski baaton mein mat aao | DEL
Vo sach mein theek hai? | STD
Ji. | STD
Theek hai. Main intezaar karoonga. | STD
Veerji waqt ki barbaadi hai aur kuch nahin | DEL
Humein maaf kar deejiye. Aur chinta mat keejiye. Kuch hi dinon mein aap Geet se milenge. | STD
Poochhna padega ya you can read my mind? | STD
Aditya looks at him, preoccupied. | STD
Main Manali ja raha hoon | STD
What the hell is happening? Kaun hain ye log? | STD
Manali ke travel agents ki list to mil jayegi? | STD
Kyon? Hamari agency tumhaari bookings karegi. | STD
Manali mein ki ek Travel Agency hai. Anshuman ki agency. | STD
Aditya hey chakkar kya hai? | STD
Pata nahin yaar. Samajh mein nahin aa raha hai. Ja kar dekhna hoga. | STD
Like I said main Manali ja raha hoon. | STD
Ye sir | STD
Anshuman? | STD
Hum mile nahin hain par aapne mere baare mein zaroor suna hoga. Aditya Kashyap | STD
Aditya Kashyap? | STD
Ji | STD
Aditya Kashyap | STD
Correct. Aur maine bhi aapke baare mein bahut, bahut suna hai. Usi source se. Ye aapke liye aapke ghar ke liye. | STD
To Main kya seva kar sakta hoon? | STD
Seva? Seva tum actually kar sakte ho ek. Tum dono immediately Bhatinda chalo. | STD
Dekho, Geet ke ghar waale bahut pareshaan hain. Usne kaha tha ki shaadi karte hi tum dono Bhatinda chale jaoge par suna ki aisa hua nahin. | STD
Kaun? | STD
Kya? | STD
Kisne kaha tha ki shaadi karte hi? | STD
Geet ne | STD
Kis Geet ki baat kar rahe hain aap? | STD
Kitni Geet ko jaante ho yaar? | STD
Main kisi Geet ko nahin jaanta. | STD
Kaise yaar Anshuman? Tum aisa kaise kar sakte ho? | STD
Dekhiye sir Mujhe guilty feel mat karaiye. Maine nahin bola tha usey ki ghar se bhaag aa, samjhe na? | STD
To phir kyon bhaag aayee? Apni saari duniya peechhe chhod kar tumhaare paas kyon aa gayee vo? | STD
Kyonki uska dimagh kharaab hai. Aap usey jaante hain to ye bhi jaante honge ki bachpana kitna bhara hua hai uske andar. Sapnon ki duniya mein rehti hai. Samajhti hai hamesha vaisa hi hoga jaisa vo chahti hai. | STD
To tumne ye saabit kar diya ki actually ye uske sapnon ki duniya nahin hai, kyonki is mein tum jaise log rehte hain. | STD
Dekhiye, dialogue maarna asaan hai. Meri situation kya hai, vo main jaanta hoon. Main rehta hoon yahan. Mere ghar waale hain, society hai, kaam-dhandha hai aur hazaar tereh ki tension hai. Ek din, achanak, vo yahan land hoti hai aur kehti hai ki chalo hum abhi shaadi kar lete hain. Abhi, isi waqt. To aapke hisaab se mujhe kya karna chahiye tha? | STD
Depend karte hai ki tum us se pyaar karte ho na nahin. | STD
Ye to height hai. Dekhiye, aap bahut bade aadmi hain, magar main aapke saamne apne pyaar ka imtihan dene waala nahin hoon, samjhe na? | STD
Zaroorat bhi nahin hai. Agar tumne uski zindagi barbaad kar dee hai to ye to clear hai ki tum uske baare mein kya feel karte ho. | STD
Magar ye clear nahin hai ki aap uske baare mein kya feel karte hain? Geet ne to kabhi kaha nahin ki aapko jaanti hai. Phir bhi aap uske peeche itni door chale aaye. Scene kya hai boss? Haan? | STD
Geet aur mera scene main tumhein zaroor batata Anshuman, magar tumhaare jaisa cheap aadmi ye baat samajh nahin payega. | STD
Kya? Kya kaha? | STD
Cheap, ghatiya, gira hua. | STD
Dekho, limit mein raho, samjhe na? Kya gira hua hoon main? Maine us sey shaadi ka vaada kiya tha kya? Shaadi ka naam bhi nahin liya tha maine. Bhoot us par savaar tha shaadi ke baad ye karenge, vo karenge aisa ghar, vaisi balcony, aise parde. Bewakoof. Maine bola usey chali ja vaapas Bhatinda. Shimla se phone karti thi to bhi main yehi kehta tha. Magar baat to sunni nahin hai. To jhelo phir. Mujhe kya fark padta hai? | STD
Geet nau maheene se ghar nahin aayee hai. Nau maheene se. Akeli hai kaheen par. Pata nahin kya kya beeta hai uspar kaise kaise din dekhe hain usne, kis situation mein hai. Tumhaari vajah se. | STD
Tumhein fark nahin padta hai tab to theek hua Geet ke saath. Usko saza milni chahiye ki usne tumhaare jaise aadmi ko itna zyaada pyaar kiya. | STD
Har waqt Anshuman, Anshuman, Anshuman. Ye hai Anshuman. | STD
Hi. What a surprise. Yahan kaise? | STD
Aise hi. Pata chala tum yahan ho to So? How are you? | STD
Good. | STD
Yeah? | STD
She nods with a smile. | STD
Great. Aur baaki sab | STD
Sab theek hai. | STD
Tumne mujhe bahut hurt kiya hai Geet. | STD
Tum mujhse keh nahin sakti thi? Ek phone nahin kar sakti thi? | STD
Apna sab samaan lo, aur chalo. Come. | STD
Aditya. Tum chale jao. | STD
Dekho. Main is waqt bahut ghusse mein hoon. Mujhe aur ghussa mat dilao. Chalo. | STD
Nahin Aditya. Maine apne liye yehi zindagi banayee hai. Isi mein rahoongi main. | STD
You know Geet. Tum apni ye Manohar kahaaniyan waali philosophy apne paas rakho. Tum abhi mere saath aa rahi ho. | STD
Tum mujhe force nahin kar sakte ho Aditya | STD
Of course kar sakta hoon. | STD
Geet. Chalo mere saath. | STD
Dammit Aditya. Chhhodo. Kya kar rahe ho tum? Main keh rahee hoon, chhodo mujhe. | STD
Tum samajhte kya ho apne aap ko? Mere saath ye sab ho gaya to ye mat sochna ki ab tumhaara chance hai, samjhe? | STD
Okay. Dhyaan mein rakhoonga. Ab chalo. | STD
Tum kyon kar rahe ho ye sab? Haan? | STD
Tumko vajah batana zaroori nahin hai. Apna samaan le kar aayo tum. | STD
Nahin Aditya. Main tumse aur ehsaan nahin le sakti. Tumne pehle hi bahut kuch kiya hua mere liye aur | STD
Maine bahut kuch kiya hai tumhaare liye? Maine bahut kuch kiya hai? Main aaj zinda tumhaari vajah se hoon, you fool. Ye jo aaj main tumhaare saamne khada hoon, ye meri doosri zindagi hai, jo tumne mujhe dee hai. Tumko pata hai ki aaj main bahutsuccessful hoon? Aaj company ki vo value hai jo Dad ke waqt bhi nahin thi. Teen nayee industries shuroo kee hai maine, kayee brands launch kiye hain, sab kamaal ka business kar rahe hain aur jo kuch bhi main hoon vo sirf tumhaari vajah se hoon. Har situation mein sochta hoon ki Geet hoti to kya karti aur vohi karta hoon. Aur tum | STD
Ab chalogi? Ya aur drama karna hai | STD
Chale jao, meri zindagi hai, kya samajhte ho apne aap ko | STD
Aati hoon. | STD
So tum yahan reh jao, main doosra room le raha hoon. | STD
Kya zaroorat hai? Itni badi jagah hai. | STD
Hmm. Theek hai. Vaise bhi mujhe karate aata hai, to koi problem nahin hai. | STD
Ghabrao mat, main tumhaara rape nahin karoongi. | STD
Tum kar hi nahin sakti. | STD
Mujhe karna hi nahin hai rape. | STD
Karna ho bhi to nahin kar sakti | STD
By god Kya raat guzri thi. Vo hotel yaad hai? | DEL
Hotel Decent. | STD
Decent Haan. | STD
By the way, main aapko bata doon ki us raat Hotel Decent mein sab log aapko call girl samajh rahe the. | STD
Kya? Call girl? | STD
Main us se kharaab word use karne waala tha. | STD
Kya bakwaas kar rahe ho. Really? | STD
Yaad hai main keh raha tha mujhe baat karne do? Magar tum to tum ho | STD
Oh teri ki Oh god Kitni gaddhi thi main. Kitni badi bewakoof thi. Tab hi to ye sab ho raha hai mere saath. Tab hi to is haalat mein hoon. | DEL
Ye to hona hi tha mere saath. Bahut achcha hua, yehi deserve karti hoon main Din raat sochti rehti hoon par kuch samajh nahin aata, ki kya karoon, kya karoon main, us se kya kahoon ki vo maan jaaye. Ghar bhi nahin ja sakti. Pata nahin kya soch rahi thi main Kya | STD
Main bataata hoon. Main batata hoon tumko kya karna hai. | STD
Anshuman ko apne dimagh se nikaal dena hai. Samjhi? | STD
Tum jitna bhi ro lo, tadap lo, vo vaapas nahin aayega Geet. Usko aana hota to bahut pehle aa jaata. Vo soch bhi nahin raha hai tumhaare baare mein. Vo apni zindagi mein khush hai. | STD
Geet looks at him. | STD
Tum us se mile the? | STD
Haan. | STD
Kya keh raha tha? | STD
Geet, Anshuman waala chapter khatam ho chuka hai. Yehi sach hai, aur jitni jaldi tum isko maan logi, utna achcha hai. Usko apne dimagh se nikaal do, isi waqt. Jaise usney tumko apni zindagi se nikal diya tum bhi usko nikal phenko Photograph. Uski photograph. Uski photo jalao aur apni zindagi se usey flush kar do. Photo nikalo. | STD
Uski photo nahin hai. | STD
Shit. Okay. Hum usko phone karenge Aur tum usko gaaliyaan dogi. Better hai. Jitni gaaliyaan jaanti ho, suna do saale ko. | STD
Aditya, please. | STD
Kyon? Bachchon jaisi baat hai? | STD
Haan | STD
Great. Bachchon waali baat karo, do gaaliyaan saale ko. Saari bhadaas nikaal do. You’ll feel great. | STD
Aditya Suno | STD
Ring ho raha hai. Taiyyar ho jao. Jitni bhi gaaliyaan aati hain. Gandi waali bhi. | STD
Hello Anshuman? Ek second. | STD
Come on, go for it. | STD
Hello. Kaun hai? | STD
Hello | STD
Haan? | STD
Hello Anshuman? | STD
Geet? | STD
Haan | STD
Aur ye Aditya Kashyap ki awaaz thi? | STD
Haan | STD
Gaali, gaali come on. | STD
Hello? Geet? Hello? | STD
Haan Anshuman main kehna chahti thi ki | STD
Haan | STD
Bolo, bolo Socho mat Come on. | STD
Kutte | STD
Yes. | STD
Kya? | STD
Kutte. Ullu ke patthe. | STD
Aur moti, aur moti. | DEL
Fantastic, suna do sale ko | STD
Saale suar ki aulaad | DEL
Hello, Geet, suno | STD
Tujhe kya laga, ki tu mujhe chhod dega to main zindagi bhar tadapti rahoongi. Tadpega tu kameene. Keede padenge tere oopar, kutte ki maut marega aur hamesha hamesha ke liye narak ki aag mein jalega teri ma ki choot | DEL
Better lag raha hai? Haan? | STD
Haan Bahut achcha lag raha hai. | STD
Haan to theek hai na yaar. Ho jaata hai kabhi kabhi, aage nahin hoga, aisi koi tension ki baat nahin hai. Mujhe bahut bhook lag rahi hai. Kya order kiya hai? | STD
Aur kal tum mujhe Shimla ghumaogi, samjhi? | STD
Embarace mat ho, bhool ja. Ki hoya tha itthe? Kuch bhi nahin. | DEL
Aa ja, rotti-shotti kha le. Kal khaasi maint kaarni hai. | DEL
Aa ki order kitta? Ae koi khaanh di cheez ae? Kuch pneer-shneer de tikke mngaa, koi kukkdi- shukkdi di tang manga. Tera dmaag khraab ae? | DEL
Pata hai? Mujhe darawne sapne aate hain, kayee maheenon se, ki main na train ke peeche bhaag rahi hoon, aur train chhoot gayee. | DEL
Aaj pakad liya na? | STD
Haan. | STD
Main tujhein bahut achchi lagti hoon na? | STD
Bahut. Bahut zyada achchi lagti hai. Magar vo mera maamla hai. Mujhe apni feelings par poora haq hai. Hai ki nahin? | STD
Aur tension mat le. Tujhpar koi pressure nahin hai, theek hai? Theek hai? | DEL
Sun, kuch der mein hum niklenge yahan se. Bhatinda ke liye. | DEL
Nahin Aditya. Nahin nahin. O god, bilkul nahin. | STD
Main apni shakal kaise dikhaoongi unko? | STD
Kuch nahin hoga yaar. Don’t worry. | STD
Tum vahan rahoge na mere saath? | STD
Rahoonga na. | STD
Tab theek hai. | STD
Great. Main unko keh deta hoon. | STD
Shaam ko? Is shaam, aaj? Achcha achcha. Tu usko la raha hai? Geet ko la raha hai? Kitne baje? Achcha, shaam ko. Haan, theek hai puttar, theek hai. Hum intezar kar rahe hain. Theek hai. Okay. | DEL
Aao ji, aao ji | DEL
Aur ye Arjan Singhji hain. Patiale mein rehte hain. Mujhse ek saal chhote hain par hote chacha hain | STD
To ye kya bolega mujhe, dadaji? | DEL
Kya baat hai? Itni tension mein kyon hai? | STD
Bachchon, tere ma-baap bade shaitaan hain. Inhone baar-baar jhooth bola ki inke beech kuch nahin hai. Magar maine pehli nazar mein pakad liya tha ki ye premi hain, hai ki nahin? | STD
Haanji dadaji. | DEL
Aur dekho, vohi sach nikla ki nahin? | STD
Haanji, dadaji. | DEL
Arey bachche, hamaari umar mein waqt nahin lagta. Ek jhalak kaafi hoti hai ye pehchaanne ke liye ki | HUM
Vekh Pehla taa kisi hotel chalde aan | DEL
Fresh hona hai | STD
Fer tu London di ticket book karaa de | DEL
Raati hi nikal jawaanga main | DEL
Hor sun Ik kaam hor hai | DEL
Ik kudi | DEL
Kadey taa dujeyaan de vaare vi soch liya kar | DEL
Daddy nu jail ley gaye | DEL
Pulce dande maar maar puchh rhi honi hai | DEL
Tommy kitthe hai | DEL
Tommy kitthe hai | DEL
Jee taa chahanda hai ki tainu sut deyaan pulce de saamne | DEL
Par tu vekh le tainu kee theek lagda hai | DEL
Jassi Sun yaar Ik kudi hai | DEL
Sarhota di Heroin sheroin de chakkar vich fans gayi hai | DEL
bechaari Ouda pata laga le | DEL
Paihe puhe de ke ounu chhudana hai | DEL
Fer tu jo kahenga main oh hi karanga | DEL
Tu hero si mera | DEL
London waala cool coujin | DEL
Teri vardi The Gabru da crew | DEL
Chhaati fulaa ke payi si | DEL
Hun utaar di bhenchod | DEL
Kabhi kabhi naa tum touch kar deti ho | STD
Chal pra Aa gaya tera Sarhota | DEL
Paahji Ik kudi hai | DEL
Twaade pind di | DEL
Chal oye Svere svere | DEL
Bihar di hai shaayad | DEL
Achcha biharan Border de naal Karnail Singh de khet ne | DEL
Otthe kaam kardi hain biharanein | DEL
Arey ou to bhag gayi | EUP
Saamaan bhi nahi le ke gayi bataao | STD
Kiske saath gayi thi | STD
Kuchh idea hai | STD
Kya jaanein Sumdahi thi | EUP
Apne mein hi ghusi rehti thi | EUP
Uska naam | STD
Arey kya toh naam rahe uska | EUP
Ajeeb sa kuchh toh tha | STD
Arey Puspa ou hockey waali ka naam bataao toh | EUP
Hum toh pagli pagli bulaate the | EUP
Itthe maal kaun vechda hai | DEL
Bol bhenchod | DEL
Thoda bhot chahida taa mere tohn le le veerey | DEL
Ki hoya | DEL
jeda bhaandi si aspataal vich peya hai | DEL
Koi deal dool vich haath godey toot gaye oude | DEL
Saala bilkul Tommy dikhta hai | DEL
Ae Virender Singh ji da ghar kitthe pehnda hai | DEL
Virender Singh Aetthe taa koi Virender Singh nahi hai | DEL
Deluxe Pharmaceuticals de maalik Hain Kaun | DEL
Tussi Veeru chamaar di gal taa nahi kar rahe | DEL
Kothi taa changi banaayi hai | DEL
Maalkaan di mehr hai | DEL
Pind vich mobile taa chalde nahi | DEL
Par andar phone haiga | DEL
Tussi chaaho taa gal kar sakde ho Veeru naal | DEL
Nahi jee theek hai Aetthe aaye si taan sochya vekh laan Veeru haiga taa | DEL
Muddat ho gayi | HUM
Waise Veeru aajkal karda ki hai | DEL
Ohi Driveri Set hai kaam ouda | DEL
Private hai | STD
Haan Apne Amar Pal Singh ji kol | DEL
apne Brar saab hain na Ohda damaad | DEL
Oh ho Haan jee haan jee Aa gaya yaad | DEL
Veeru ne daseya si family relation hai | DEL
Aaho Veeru di baraat vich poori family nachi si Brar saab di | DEL
Chalna chahiye nahi | STD
Chalo jee | DEL
Hor na maaro | DEL
Hor na maaro | DEL
Nahi yaara Asi taa pra haan | DEL
Bhai bhai Hai na | STD
Bhot kuteya yaar mainu | DEL
Bhot kuteya tere pra nu | DEL
kudi nu kitthe rakhya hai | DEL
o jedi kudi heroin de chakkar vich fans gayi si | DEL
o kitthe hai | DEL
Jackie Chan de saamne sut ditta | DEL
yaar Pen da shola | DEL
haddi haddi khaa gaya penchoda | DEL
Bhai main samajh reya haan | DEL
Par vekh mera ohnu milna bada jaroori hai | DEL
Main kadi kisi de leyi kuchh nahi kitta | DEL
Ik vaari kar len de yaar | DEL
Mukti mil jaavegi | DEL
Bhai sun na | STD
Sorry sorry Vekh Bhai | DEL
Muddat baad dhun vaji hai kannaan vich | DEL
Os kudi di meherbaani hai | DEL
Jis din tohn mainu mili hai ik vaari vi mann nahi kitta cocaine len da | DEL
