Chill rakh. Nahi to ‘mohan pyare’ nahi jaagega! | STD
Aur teen mahine deta hu tereko bikau ka matlab samajhne ke liye. Teen mahine!! | STD
Yaha kyo ruka hain? | STD
Tu bus le le. | DEL
Matlab? | STD
Mujhe ek raat aur rukna hain. Kal phir try karunga.. | STD
Kal phir...? Deepu, story file karni hain tujhe. | STD
Kar lunga. | STD
Kuch paise de na... | STD
Bhenchod, sar phod doonga!! | BOM
Aai shapat, kaat dunga tum logon ko. | BOM
8 tareeq ki raat jo waqya hui, uski wajah se Professor Srinivas Siras ko University charge-sheet kar rahi hain. Unka immoral conduct, AU ke teacher ke likye khaas-taur-se na-munasib hain | HUM
Professor Siras ko aaj ek legal notice bheja jayega, aur unko apne alloted quarters, 21, Medical Colony ko 7 din mein khali karna hoga. | STD
Saat Din? Seriously?? | STD
Kya aapne tape dekhi hain? | STD
Unke saath dusra aadmi kaun tha? | STD
No questions please. This is not a press conference. | STD
Sir, un do ‘reporters’ ka kya hua? Jo sting operation ke peeche the? | STD
Unke khilaaf koi karavahi nahin ho rahi hain? | STD
Nahin. | STD
Kyon? | STD
Kyunki woh hamare employees nahi hain. | STD
Yeh sach nahi ki un logo ne Professor Siras ko bina permission videotape kiya tha? | STD
Journalist hokar mujhse ye sawal pooch rahe ho? Tumhare cameras kahin bhi permisssion lekar ghuste hain kahin kya?? | STD
Aur yaad rakhiye, masla yaha cameras ka nahi hain, unpe paye gaye content ka hain. | STD
Kyun? | STD
Jo sawaal tumne uthaye, woh aur koi reporter nahin uthata. | STD
Aap? | STD
Professor Siras ka yaha koi friend bhi hain, yeh nahi pata tha... | STD
The sun is such a lonely star. Whenever he comes out to see his friends, they all disappear. | STD
Aise-kaise bijli kaat sakte hain?? | STD
Saaf-saaf likha hain, saat din mile hain mujhe.. | STD
Chaar ghante milegi bijli. Saat se gyarah. | STD
Arre? Jab tak occupancy hain, aap nahi kaat sakte. Main police mein complaint karunga. | STD
Jayiye Police thaane! | STD
Thoda chai-paani le lo. Do-chaar din baad aakar kaat lena. | STD
The men ignore him. The wires are cut and the box is sealed with a lock. | STD
Kitne baje se kitne baje tak bola? | STD
Saat se gyarah! | STD
Mere vaalid, AU mein professor the. Main Oxford mein pada hoon, but I returned here to teach. And let me tell you, this was not the dream of Sir Syed Ahmad Khan, the great | STD
Mughal rule ke baad, India ke Muslim-soch ko agar kisini badala, to woh thi Aligarh University. Sir Syed imparted a more progressive & scientific world-view to Indian Muslims. AU created lumineries who participated in India’s freedom struggle.. | STD
Gham hain ki aaj, main AU ke liye aise alfaz nahi istamal kar sakta. Aaj iske zirre-zirre mein Rajneeti bhari hui hain. Jo bhed, ek zamaane mein, debates ki zariye sulajhti thi, woh ab khoon-kharabe mein aur ulajh rahi hain. | STD
Professor Siras is a victim of internal politics?? | STD
Yes! Unke saath bahut badtameezi hui hain. Pehle to un reporters ne ki, phir University walon ne, aur ab media ki insensitive reportage. Kitni sharmnaak baat hain. | STD
Main Siras ki kahani likhna chahta hoon, kya aap unse mila sakte hain? | STD
Siras is a very private person. Woh cameras ke saamne nahi ayenge, khas kar ke is episode ke baad. | STD
Funny. Itne saare hidden cameras lage hue hain, par yaha log visible cameras se dar rahe hain! | STD
Main baat karke dekhta hoon... | STD
Arre bhai, Press ko nahin rok sakte aap! | STD
Allowed nahi hain. Colony ka rule hain. | STD
Kahan jana hai? | STD
Professor Siras ke yahan. Appointment hain. | STD
Kya naam hai? | STD
Hey. Its me. Deepu Mathew. Dr.Islam ne... | STD
Kya kar rahe hai aap? | STD
Bijli reconnect kar raha hoon. | STD
Yeh aapka meter hain? | STD
Nahi. Padosi ka. Lekin woh bahar hain. | STD
Us wire se nahi hoga. Woh earthing ka wire hain. | STD
Main try karun? | STD
Dekhiye, main nahin jaan-na chahta us raat aap kya kar rahe the. Its none of my business. But main yeh zarur jaanta hoon ki unlogo ko aapke ghar zabardasti ghussne ka koi haque nahi tha. | STD
Ho jayega, aap mujhse thoda dur hatiye. | STD
Shock laga to...? Isiliye. | STD
Mere khilaaf yeh conspiracy hain. | STD
AU ki? | STD
AU mein kuch logo ki. Woh jalte hain mujhse. | STD
kyon? | STD
Dekho, main humesha bahar ka aadmi raha hoon. Urdu bolne walon ke shehar mein Marathi sikhata hoon. Shaadi-shuda logon ke beech, campus mein akela rehta hoon. Iske bavjoot mujhe Linguistics Department ka Chairman banaya gaya. | STD
Andar aao.. | STD
Pata hain, subah jab inlogo ne bijli kaati, to maine socha aaj university clock tower se jump kardu.. | STD
Accha hua ruk gaya! | STD
January-end mein ek professor ne mujhe dhamki di thi ki woh mujhe chairman ke position pe zyada din tikne nahin dega. Uske ek hafte baad, yeh ghatna hui. | STD
Aap...gay hain, isiliye? | STD
Main is shabd ka matlab nahin samajhta. | STD
Aap...nahi hain? | STD
Koi mere feelings ko teen aksharon mein kaise samajh sakta hain? | STD
Yeh ek kavita ke tarah hain...bhavatmak. Ek teevra iccha...jo apne kaabu ke bahar hoti hain. Batao, kin poets ko padha hain tumne? | STD
Zyada nahi. Frankly, mujhe ye Tennyson-Vennyson bahut confusing lagte the. Shabdon ka khel samajh nahi aata hain... | STD
Kavita, shabdon mein kaha hoti hain? Kavita to shabdon ke beech, antaral mein chuppi milti hain. Har koi uska alag arth nikalta hain. | STD
Maine aapki kitaab ’Grass Under My Feet’ bahut dhoondi, nahin mili. | STD
Naturally. Poetry kaun khareedta hain aajkal? Tumhari generation poetry nahi samajhti, woh har ek cheez ko label karna chahti hain. | STD
Aapne AU kyon join ki? There doesnt seem to be a demand for Marathi here.. | STD
I am most lucky I came Aligar...so I got very much respect here. | STD
Maharashtra state mein to saikdo Marathi teachers hain...yahan sirf main hi hoon. | STD
Professor Siras, Uss raat ke baare mein bataiye... | STD
Woh log kaun the? Kya aap unhe pehle se jaante the? | STD
Nahi. | STD
Woh andar kaise ghusse? | STD
Main nahin jaanta. | STD
Aapne darwaza khula chhoda tha? | STD
Yaad nahin. | STD
Main aur mera friend, wahan andar, bedroom mein the. | STD
Unloge ne aapke saath kya kiya? | STD
Bhag mat! Bhag mat! | DEL
Video lene de behenchod, press waale hain! | DEL
Ek ke haath mein camera tha, doosre ke haath mein danda. Woh humpar kud pade. Dande se maar rahe the, khaas karke mere friend ko. Mujhe kapde bhi pehene nahi diya... | STD
Phir kya hua? | STD
Main haath jodkar unse rukne ko request kar raha tha, jab darvaza khula, aur mere University ke chaar colleagues, mere bedroom mein ghus aaye. | STD
Kya?? Woh yaha kya kar rahe the? | STD
Kya aap AU ke khilaaf ladenge? | STD
Meri age 64 years hain. Mujhe ladna nahi hain. I love my University Mr Deepu. | STD
Deepu, ek second ruko. | STD
Meri kitaab. Agar phir kabhi poetry padna ka mann ho to.. | STD
Magar yeh to Marathi mein hain..! | STD
Translate kiya hua version hain kahin. But it is too much badly done. Sochta hoon, kabhi khud translate kardu. | STD
To phir mujhe wahi copy dijiye. | STD
Gay ya straight ka iss kahani se koi lena dena nahi. Bina permission, 6 log Professor Siras ke ghar mein kaise ghusse? Iss sawal ka jawab jaan-na zaruri hain... | STD
Good story Sonali. | STD
Yeh Sonali ki pehli researched story hogi. | STD
Lagta hain professor ke saath connection ban gaya tumhara? | STD
Hmmm... date pe gaye the? | STD
Nahi Sonali. Suspension, charge sheet aur eviction ke beech, time hi nahin mila. | STD
Line toh maara hoga? | STD
Sab tumhari tarah frustrated nahin hain. | STD
Tumhari girlfriend nahin hain kya? | STD
Bina permission, 6 log Professor Siras ke ghar mein kaise ghusse? Iss sawal ka jawab jaan-na zaruri hain… | STD
Hum isse kabhi accept nahi kar sakte hain. AU ki apni tehzeeb hain, apni sakhafat hain...is liye se unka suspension bilkul sahi hain. | STD
Along with other subjects at AU, we teachers teach moral values,so no teacher should be allowed to devalue our system... | STD
Inhone jo kiya hain woh janwar se bhi bhattar hain, aur Jaanwar bhi homosexuality pasand nahi karte. | STD
Yeh sach nahi hain ke jaanwaron mein homosexuality payi nahi jaati. American Psychiatric Association ke anusar, homsexual behaviour, jaanwaron ke 1500 species mein paayi jaati hain. Kabutar, bandar, girraffe, haathi aur lions tak, ‘same-sex’ mein indulge karte hain. | STD
Sir, ek baar aur karenge please? | STD
Haan, ab bhariye please. | STD
Professor Siras, Kya aap AU ke khilaaf legal action lene wale hain? | STD
Kya aap gay hain? | STD
Professor Siras ka suspension aur charge-sheeting judiciary ke faisle par ek tamacha hain. Aaj hum sabko milkar, is suspension ko challenge karna hain. Kyonki aaj Bharat ke itihaas mein pehli baar, kanoon humaare saath hain! | STD
Please sign this petition in support of Professor Siras. | STD
Tumhe pehle kabhi nahi dekha...? | STD
Thoda dur hain University se, par accha hain Hindu society mil gaya aapko. Shanti purvak log hain yahan. | STD
Ah. Reading. Accha hain. Time-pass hojayga. Humari Mrs raat ko jabtak Filmfare nahi padti, usse neend nahi aati. | STD
Teen hazar aur lagenge. Registration karni hain. | STD
Chalte hain. Society wale theek hain lekin parde-warde band rakhe to accha hain. | STD
Yeh hain Anjali Gopalan, Naz Foundation, Dilli se, aur yeh Arvind Narayanan, Bangalore se vakeel hain. Inlogon ne milkar section 377 ke khilaaf ladai ladi thi... | STD
Hum aapko batane aaye hain, ki agar aap AU ke khilaaf ladne ko tayyar ho jaaye, to hum aapko tahe dil se support karenge. | STD
Aapko shayad pata nahi ki aapka case bahut strong hain, 377 ke ammendment ki wajah se... | STD
Sorry, mujhe is activism mein koi interest nahin hain... | STD
Sorry Mr Siras, magar aap 377 ko kisi aur ka problem kaise samajh sakte hain? Iska laabh to aapko bhi padta hain na? Phir kyon na shamil ho jaaye, hum sabke saath? | STD
Yeh campaign dekhiye... already teen hazar signatures aaye hain aapke support mein. | STD
Aapne vakil Vijay Grover ka naam suna hoga? Jinhone 377 ke khilaaf....Woh aapko represent karna chahte hain. | STD
Kya karna hoga? | STD
Humme likhna hoga ki aap gay hain. Are you ok with that? | STD
Kya yeh zaroori hain? | STD
Aaeye. | STD
FIR kisko file karni hain? | STD
Inko. | STD
To phir aap baithe rahiye. | STD
FIR file karni hai.. | STD
Kiske khilaaf? | STD
NEWS100 ke do reporter’s aur AU ke PRO, Proctor aur Deputy Proctor ke khilaaf... | STD
Kyun? | STD
Mere ghar me bina permission ghusne ke liye, aur mujhe harass karne ke liye. | STD
Rukiye ek minute.. | STD
SSP saab nahi hain na aaj. Aur unki gair-maujudgi mein nahi file karsakte. | STD
Magar... | STD
Bade naam hain FIR mein, hum chote officer nahi file kar sakte. | STD
Nahi milenge aaj. Function mein busy hain. | STD
Please milwa dijiye, do minute ka kaam hain. | STD
Arre, dekh nahi rahe hain. Bade log aa rahe hain. Aap jaiye yaha se. | STD
Kaise hai SSP sahib? | BOM
Aap ki kripa hain maalik. Aaiye. | STD
Sir, thane mein humara FIR darj nahin kar rahe hain, keh rahe hain aap hi isse accept kar sakte hain. | STD
Arre? Jaiye aap. Parson thane me miliye. | STD
Jaa rahe hain, bas sir isko padh le. | STD
Yeh to file nahi kar payenge bhaiya. | STD
Kyun? | STD
Bade hastiyon ka naam liya hain. Aligarh mein inka bahut sammaan karte hain. Pehle humko yeh matter investigate karna hoga na | STD
Kal ko tum aakar kahoge ke District Magistrate ke naam FIR file kar de, to kar sakte hain kya?? | STD
Us rikshawwalle ke saath aapka kya sambandh tha? | STD
Kya aap accept karte hain, ki us video mein aap hain? | STD
Professor Siras, kya aap gay hain? | STD
Haan. I am a gay. But main ek senior professor bhi hoon. Aur AMU ke Liguistics Department ka Chairman bhi. | STD
Kya aap university ke khilaaf action lene wale hain? | STD
I love my University, Par shahyad un logon ne mujhse love karna chhod diya hain.. | STD
Itna uchlon mat! Yeh to sirf ladai hain. Yudh abhi baaki hain. | STD
I applaud your courage. Janta hu ke yahaan aana aasan nahi raha hoga. | STD
No. No. You are courageous one. Apne jaison ke liye lad jo rahe hain! | STD
Aur ‘he is a gay’ nahi bolte. | STD
Matlab?? | STD
Sirf ‘he is gay’ kehte hain! | STD
Proctor aur mein paas ke guesthouse mein dinner kar rahe the. Khabar mili ki Medical Colony mein koi shooting ho rahi thi. PRO hone ke naate mera farz banta hain ki campus mein shooting ho, to main maujud rahu! Maine Dy. Proctor--Dr. Majid aur Media Advisor—Prof. Murtuza ko phone karke Medical Colony bulaya tha. | STD
Jab wahe pahuche to aapne kya dekha? | STD
Dekha ke Siras aur uska partner, bistar mein baithe the. Siras apne chaddi-banyan mein tha, aur un reporters se muafi maang raha tha. Maine foran videotape dekhni ki maang ki. Aur maine jo dekha woh nihayati ashleel aur sharmanaak thi! | STD
Kya dekha aapne? | STD
Kya inka vyavhaar AU ke code of conduct ke anusar sahi tha? | STD
Bilkul nahi. It was a case of moral turpitude. Homosexuality ko practice karna aur woh bhi university premises ke andar, haraam mana jaata hain. | STD
Mr Qureshi, Aap aur proctor us raat, paas-wale guesthouse mein kya kar rahe the? | STD
Maine bataya, hum dinner kar rahe the. | STD
Aapk done akele the? Aapke patniya kaha thi? | STD
Kya matlab? | STD
