Itni kya urgency thi yaar? | STD
Baad mein baat karenge hain na…? | STD
Abhi humko jaana hai, kyonki… | STD
Arey uth, jaldi kar | STD
Chalo | STD
Bharoso waise ee na ae kaaye ko | WUP
Kar diyo jo karna ae | WUP
Phonan ne aaf kar do sagle | WUP
Jai. Je bola. | WUP
Bolo Lakkad Maharaj ki | WUP
Jai. Je bola | WUP
Bolo Gaam Khede ki | WUP
Jai. Je bola | WUP
Qawwali ko koi latest number aayo ae? | WUP
Hawker	Baat suno bhai qawwali latest nahin suni jaati | WUP
To ka suni jaave hai? | WUP
Hawker	Khaas kalaam hai ye | WUP
Maula Ghareeb Nawaz ki shaan mein | HUM
Aur puraani? | STD
Hawker	Bahot zyaada | WUP
Pher theek hai | WUP
Gujjar | WUP
Matlab ki kamaal kar diya tumne bhai yaane jhande gaad diye kasam se… | STD
Ab to Masha ah kisse-kahaniyon mein charche honge tumhaare… | STD
Phone pe bolna theek na tha ye sab | WUP
Yaane ki bhai dopahar ko khabar mili aur maine tumhara phone try shuroo kiya | STD
Bhai nu bata humein chhipa kahaon ro ae | WUP
Kya hai na ki bhai ab tum tum nahin rahe, mashallah hasti ho gaye ho famous | HUM
apna consignment le kar galli mein ghusoge do minute mein khushboo phail jayegi saare Ajmer mein… | STD
Ab tum yahan nahin ruk sakte. | STD
Khabron mein aa gayee kaha yu baat? | WUP
Ab tak to nahin bhai magar khabar sabko hai police waalon ki badaulat | STD
Ya mere Bawa… Tere paas M K Tripathy ki beti hai? Hain…? | STD
Hum hain | STD
Bukhaar to nahin hai na kaheen? | STD
Sunn ho gaye honge na honth? | STD
Arey? Hum aapki side mein hain | STD
Aur ye baat kisi ko bol mat deejiyga | STD
Bahot danger log hain ye… | STD
Kya karenge aapke saath | STD
Aap to soch bhi nahin sakti hain ki aisa kiya bhi ja sakta hai | STD
magar hum hain | STD
Hum dhyaan rakhenge… | STD
Aapko apne ghar jaana hai na? Haan…? Apne ma-baap ke paas, apne logon mein… Jaana hai na vaapas…? | STD
Jaldi kar le | STD
Aa gaye? | STD
Paani pilo diyo ae, khaana baad mein denge. | WUP
Hum udhar baithe hain hai vahan | STD
Baith ja | STD
Sambar 	Haan Namak ka karkhaana… | STD
Haan sab theek hai | STD
Arey? | STD
Kya hua bhai? | STD
Haan, kya hua? | STD
(striding forward) Bhaagna chaah ri | WUP
Haan to? | STD
Chal bhaag | STD
Kaha hua? Bhaag | WUP
Arey? | STD
Hat peeche | STD
Apni marji se bhaagi | STD
Apne aap hi jaagi bheetar | WUP
Chal | STD
Moe chaha kyon na dee? | WUP
Na dee? | WUP
Phone ke naye sim card jaroori hain | STD
uske haath bhijva diyo | WUP
Or bi samaan lena hai | WUP
Sab le aiyo | WUP
Meri awaaz aa rahi hai? | STD
Kya hai? | STD
Suniye, main thodi der ke liye… baahar aa sakti hoon? | STD
Kyon? | WUP
Mujhe aise… band band se na… sar ghoomta hai…Tabiyat bahot kharaab ho rahi hai… | STD
Haan to theek hai na | STD
Main bhaagne ki koshish nahin karoongi Please, thodi der ke liye… | STD
Itna kyon bol rahi hoon? | STD
Aisa lag raha hai main hoon hi nahin yahan, koi film chal rahi hai aur main dekh rahi hoon… control nahin hai, munh apne aap chal raha hai | STD
Actually parson se raat se kuch bola hi nahin hai… correct shayad isi liye | STD
Aae | WUP
Chaha badhiyo ae? | WUP
Different hai Magar bahot achchi hai. Is mein cheeni daali hai, ya kuch aur…? | STD
Oye toone banayee? | STD
Daali to cheeni hai bhai | STD
Par yaan ko namak thoda ghus hi jaave hai | WUP
Har cheez mein namak hai Chehre pe namak aa jaata hai | WUP
Haan | STD
Mujhe laga sirf main feel kar kar rahi hoon | STD
Na na, sab feel kar rahe hain | STD
Mujhe to aise haath pe… | STD
ye dekho namak… dekho | STD
Aapko aise bhaagne ki kya jaroorat thi? | STD
Ab suniye Dekhiye | STD
Nahin nahin nahin | STD
Bharosa karna padega thoda | STD
Nahi to kaise hoga? Haan? Plan suniye | STD
Aise ghabraane se thodi hoga? Haan to plan jo hai vo ye hai | STD
Dekhiye dekhiye | STD
Hum jaante hain aap kya soch rahe hain | STD
Aisa bhi to ho sakta hai aap ghalat samajh rahe ho… | STD
Aise nahin ho sakta? Ab main bolta hoon ki baat kya thi. Aap khud hi | STD
Arey… bhai aap ghalat samajh rahe ho aap suno to… | STD
Yu sauda ae Laundiya na | WUP
Haan to bhai main… | STD
Bas. Baat khatam. | STD
Kapde dhang se na pehen sake hai? | WUP
Chal | STD
Abhi ke abhi nikal rahe hain? | STD
Aur ab kahan ja rahe hain? | STD
Pata nahin | STD
Chal jaldi | STD
To ja ke sab ko bata dega? | STD
Munh band kar ya ko Haathan ne baandh aur daal peeche | WUP
Ho sake na bataave? | WUP
Pakko bataego | WUP
Saala saanp | STD
Ar yu raasta Ratangarh i niklego? | WUP
Ar tempo ke kaagajan ko ka karenge? | WUP
Police hai, state border hai unhein is naye number ke kaagaj na dikhaane honge? | STD
Jaako number lago ae vo gaadi thunk kar kabaad mein padi hai. Aur vaake kaagaj yo rae. | WUP
Arey Jiyo Ab aage ko ka plaan hai? baat karni hai Ajmer | STD
Phone on karoon? | STD
Sim carde likaad ke phenk de. Ruk ke call karni hogi kaheen se | WUP
Ruko… | STD
Peeche dekho | STD
Kahaon gayee thi? Hain…? | STD
Tum kahan gaye the? | STD
Dimagh kharaab ho gaya hai tera tu moso pooch rahi ae? | WUP
Tumhein jaana ho sakta hai to mujhe bhi to jaana ho sakta hai na? | STD
Sochna chahiye | STD
Chal | STD
Kaha hua? | WUP
Ho gi baat? | WUP
Haan | STD
Aaj phone karego | WUP
yaake mobile mein battery laga ker, | WUP
ar pher do din baad humsu milego Aaja | WUP
Main aage baithoongi | STD
Kasam se haddiyan ne tod doongo ghani bakwaad kee to | WUP
Theek hai… Tod do haddiyan ne… Tasalli kar lo. | WUP
Par baithoongi main aage hi. | STD
Problem na hai | WUP
Main raoonga na side mein. Donon rahenge dono sidan mein, aur ka? | WUP
Maine bahot kharaab se baat kee. Strange | STD
Itni budtameezi se to main kisi se baat nahin karti Kabhi nahin | STD
Mere baare mein to ye hai ki main bahot well-behaved | STD
I mean tameezdaar hoon Aur tumse to | STD
Sorry Actually ulti kar kar ke | STD
Tu chup rahegi? Chup rahegi? | STD
sorry bol rahi hoon | STD
Main bol raha hoon sory? Hain? | STD
Hum yahan tameej dikhaane aaye hain? | STD
Apne baap ke ghar ja kar dikhaiyyo tameej | WUP
Tum vohi ho, Dilli waale? | STD
Badal gaye ho | STD
Ka hua sirjee? Ka baat bai? | WUP
Kuch bhi nahin, hain.. Khaali le ke ja raha hai tempo? | STD
Ghar ke samaan ae bas | WUP
Ya Rajasthan da maal hai chori da hain? | DEL
Bilkul koi Rajasthan ka maal nahin hai. Maa ki kasam. | STD
Dikha apne ghar da saaman. | DEL
Sir ek minute | STD
Hain? | STD
Ek baat karni hai | STD
Kuch samjhauta kar lete hain | STD
Darasal imandaaran waali shakl nahin na hai teri Is liye thoda confuse ho gaye si | DEL
Chal dudki ho | DEL
Bura maan gaya? Hain? Tempo zapt karwaoon? | STD
Nahin nahin | STD
To nikal | STD
Haan | STD
Kya hua? | STD
Hain? | STD
Tu chhip gayee thi? | STD
Arey chhip gayee thi kya? | STD
Haan | STD
Kyon? | STD
Yehi to mauka tha tere paas, chhipi kyon? | STD
Pata nahin | STD
Arey pata nahin kya matlab? | STD
Pata nahin matlab pata nahin | STD
Ho sakta hai dimagh kharaab ho gaya hai mera | STD
Aaraam se nikal sakti thi | STD
Khaana hai to kha le jaldi | STD
Kya? | STD
Main nau saal ki thi | STD
Ghar mein… Vo imported chocolates laate the - mere uncle… Dad se bhi bade the vo… | STD
Mujhe god mein bitha kar pyaar karte the | STD
Aur akele mein bathroom ke andar | STD
phir god mein bithate the… pyaar karte the… | STD
Dard hota tha bahot Main… Mere… | STD
Cheekhti thi main, magar vo mera munh band kar dete the aise haath se munh band kar dete the ki meri cheekh baahar na nikle aur bahot dard aur main. | STD
Bas bas bas Ho gaya… | STD
Meri gudiya… Best ladki hai duniya ki, sab se beautiful… | STD
Phir aate the phir munh dabaate baar baar aate the | STD
andar cheekhti thi main | STD
Kisi se kehna nahin, theek hai…? | STD
Ek din maine mummy ko bol diya, bataya unhein | STD
Mummy ne kaha | STD
Janwar saale Tameez, tehzeeb | STD
Namaste karo, paon chhuo inke | STD
Har taraf vohi hain | STD
Unke beech rehna hai, hansna hai… | STD
dosti karni hai pyar karna hai… | STD
Jahan se tum mujhe laaye ho, main vahan vaapas nahin jaana chahti. | STD
Jahan le ja rahe ho, vahan pahonchna nahin chahti. | STD
Par ye raasta… ye bahot achcha hai. | STD
Main chahti hoon ye raasta kabhi khatam na ho… | STD
FIR Dera Mandi Police station mein darj hai, Delhi ki jurisdiction mein. | STD
Case ke papers aapko mil chuke hain | STD
Dekho yaar ye baat public nahin ho sakti. | STD
Special Cell handle kar rahi hai ye case. | STD
Mahabir Bhaati, status faraar hai Yes sir. | STD
Sir Ye kidnappers nahin hain, contract criminals hain. Land-grabbing, dacoity etc ke zyada cases hain. | STD
Ladki ke phone mein battery laga, phone kar, phir battery likaad de. | WUP
Veera ka phone hai | STD
Hum dekhna chahte hain ki tum bharose ke laayak ho ki nahin | STD
Pher phone karenge | WUP
Main bataane hi to aaya hoon sir, sab kuch bataoonga | STD
Hai na? Na bataane waali koi baat hi nahin hai | STD
Sir saat-aath din pehle nikle hain yahan se. | STD
Tab to kaheen bhi ho sakte hain | STD
Agli baar main bataoonga ki paise kis tarah dene hain | STD
Sir phone Calcutta se tha Yes sir Veera Tripathy ke number se. | STD
God knows vo kahan hai is waqt vo kya kar rahe hai uske saath | STD
Kya bola? Haan? | STD
Chal bata Bata | STD
Kya hua? Nahin bataega? | STD
Bata Bol saale Bol | STD
Kuch nahin? Kuch nahin? | STD
Aage se left | STD
Kaisi kaisi jagah hai is country mein? | STD
Aisi tooti purani gandi jagah hi kyon pasand aaye hai aameeran ko? | STD
Ar nek idhar aa ja | WUP
Yaay pakad, tareek dikhaani hai. | WUP
Ye language kaun si hai? | STD
Ki unhein lage hum Bengal mein hain.? | STD
Oye apharan huya ae tero Dukhi to lag ja… | WUP
Aiso ka ghanta paise milenge humein? | WUP
Achcha chal hasna band | STD
Teri shakl dekh kar koi ghanta serious ho sakta hai? | BOM
Okay lo main peeche mud jaata hoon | STD
Jagah theek ae Samaan-sumoon lena hai to market hai | WUP
Latte lene hain laundiya ke Vo aise alag su na dikhe | WUP
Apna to achcha achcha hone waala hai sab | STD
par poochna tha ki ye phirauti aur phone ke chakkar mein pange pad gaye | STD
To plan to vohi rahega na apna? Mahabir	 Kyon? | STD
Aise hi pooch raoon | WUP
Ya laundiyaye kotthe pe bechenge | STD
Jaada laad mein mat na aa vaake Na na, aisa na hai | WUP
Vaaki ijjat hai. Aur kae ki ijjat na hai…? | WUP
Ghareeban ki lugai ki kaha ijjat? | WUP
Vaaye to le jao raatan mein, ki seher su baddo saahab aayo o, lugai lagegi aaj raat… | WUP
Aur le ke kaun ja go…? | WUP
Ae chod na bhai, rehn de | WUP
Vaaka apna ghar waala marad… | WUP
Vo baahar jameen pe baitthego, aur lugai bhittar, saob ke saath. | WUP
Phir darwaja khulego aur vo apni lugaiya le ke ghar vaapas aur apna saara ghusso lugai pe ee likaadego | WUP
Inki to maa ka saala Inki ma ka… | STD
Meri maan, aaj rehne de. Aaj mood theek na hai bhai ka | STD
To main theek karti hoon na mood | STD
Arey | STD
Paagal ae? Pher na kariyo, samjhi? | WUP
Hmm. Samajh gayee. | STD
Kaha baat hai? | STD
Tumne kaha tha mere liye kapde lene Aadoo ne bataya | STD
Acting mat karo, bahot achchi lag rahi hoon main | STD
Ye kaun sa gaana hai? | STD
Haan? | STD
Tujhe kaam ka hai? | WUP
Mujhe ye gaana sunna hai Ye kaam hai | STD
Dekh tu abhi chali ja. Chal | STD
Mahabir Bhaati | STD
Bahot achchi tune hai ye | STD
Kyon bataoon main? Hain? | STD
Ab to zaroor jaanna hai mujhe. Kaun sa gaana hai? | STD
Gaana na hai | WUP
To phir? Gaana nahin hai to tumne kahan suna? | STD
Meri ma gaati thi | STD
Really? Wow Tumhaare liye gaati theen? Haan? Bolo na please | STD
Arey haan mere liye gaati thi Vo kaam karti thi to | STD
main uske saath hota tha to main rota tha to vo gaati thi Ho gaya? | STD
Tum rote the? Oh | STD
To tumhaari mother tumhaare saath hi rehti hain? | STD
Chal, bahot ho gaya, bhittarr ja. Chal uth | WUP
Kya hai na, mera mood nahin hai jaane ka. | STD
Bahot par nikal aaye hain tere? | STD
Hai na? Aur darr to bilkul khatm ho gaya hai. | STD
Aur bura mat manna magar ab to kaafi cute lagne lage ho tum mujhe | STD
Achcha rote kyon thhe tum? Haan? Batao na? Kaun tang karta tha baba ko? | STD
nahin poochoongi Promise nahin poochoongi Suno to | STD
Tumhaari mother | STD
Kya bulaate ho tum unko? | STD
Amma | STD
Hmm To Amma vo theek to hain na? | STD
Tumhein mujhse promise karna hoga Mahabir, ki ye sab khatam hote hi tum unse miloge. Kahan hain vo? | STD
Gaam mein | WUP
To tum gaon ja kar unse miloge. Theek hai? | STD
Haan? | STD
Ye waala | STD
Aa ja | STD
Bahot sahi bhai | STD
Tum ja rahe ho? | STD
Khayaal rakhna | STD
Phir milenge | STD
Vaan dekh Police s-tation ae? | WUP
Bheetar ja ke s-tation incharge se mil | WUP
Apna naam bata, aur pitaji ka naam | STD
Bol tu vohi hai jaaka Dilli se kidnap hua… | WUP
Tum jaante ho main nahin jaoongi | STD
Aur ya phaun le apna Ghar phaun kar liyo | WUP
Sunai nahin de raha hai? Main nahin jaoongi. | STD
Nahin jayegi to kaaha karegi hain? Shaadi karegi mere se? | WUP
Ye achanak kya ho jaata hai tumhein? Ye kya scene create kar rahe ho? | STD
Kaaha karegi tu mere saath? Kaaha karegi tu jaanti nahin main kaun oon? | WUP
Vohi to baat hai Main jaanti hoon tum kaun ho | STD
Teen khoon kiye hain maine Theek hai? Maine Yo haath… yaa se, ya… | WUP
Mari jindagi khatam ae kuch na ho sake ae, theek na ho sake, bas mar jaoonga… Tu mud ja… Dil se dua hai tere liye | WUP
Kaise Mahabir? | STD
Dekh main keh raha hoon chali ja Baot bura ho jaaga, chali ja | STD
Kya kahaani hai tumhaari Mahabir? Kaise ho gaya ye sab? | WUP
Chup, chup Munh band kar aur ja police station. | STD
Nahin jaoongi. Kya kar loge? | STD
Chup chaap chal | STD
Bahot taaqat hai? Bahot taaqat hai? | STD
Ae main bata raha hoon dimagh kharaab mat kar | STD
Nahin jaoongi nahin jaoongi. Mera bhi khoon kar do | STD
Mahabir, ruko | STD
Paagal ho gaye ho? | STD
Ek second Mujhe ek call karni hai. | STD
Bus stand kahan hai bhai saab? Chandigarh ki bus kahan milegi? | STD
Ek baat tum samajh lo Mahabir Jo bhi hona hai na | STD
vo tum akele nahin decide kar sakte, samjhe? Tumhein mujhse | STD
Vahan ja ke khadi ho ja, bench ke paas. | WUP
Bachche paalne ka plan nahin hai | STD
Shaadi ka bhi nahin hai. Plan nahin hai Bas aisa lag raha hai ki thoda aur thodi door aur | STD
Thoda aur time – tumhaare saath Maine kabhi aisa kabhi feel nahin kiya hai na | STD
ki main jo chaahe kar sakti hoon, jaise chaahe reh sakti hoon kyonki tum samhaal loge. | STD
Maine kabhi aisa feel nahin kiya hai. Magar tum phans jaoge | STD
Pehle vo soch rahe the ki hum shayad Calcutta mein hain. Ab unhein pata chal jayega hum is area mein hain. | STD
Ab koi chance nahin hai bachne ka, hai na? Haan? | STD
Shit yaar Sab kharaab ho gaya. | STD
Kya karein? Bolo | STD
Mera khayaal oopar chalte hain | STD
Haan? | STD
Chhat par Chalegi? | STD
Magar hum aage | STD
Kitta baat karegi? Chal | STD
Yaar tumne kabhi bataya nahin ki duniya aisi bhi hai | STD
Kya hua? Maine bhi nahin bataya tha ki main aisi hoon? | STD
Mujhe khud kahan pata tha? Magar hoon To hoon. | STD
Theek hoon So jao | STD
Takleef utha rahi hai bahot | HUM
Jaanta hoon main | STD
Takleef to hai, jhoot nahin boloongi. | HUM
Par abhi kaa kar sake hain? | WUP
Main kuch karoon? | STD
Hmm? Kaa? | WUP
Hmm Ab koi takleef nahin ho rahi. | HUM
Tumko ho rahi hai? | STD
Haan? | STD
Takleef? | HUM
Nahin | STD
Aur agar main tumhaare baazu par sar rakh doon, usmein koi takleef hai? | HUM
Main bataati hoon. | STD
Aise. Takleef hai? | HUM
Haan? | STD
Nahin. So ja. | STD
Kaha dekha kare hai itte ghor se? | WUP
Tumhein pahaad pasand hain ya samundar? | STD
Samandar na dekha hai maine. | WUP
Mujhe bhi pahaad pasand hain. | STD
Ab jaise vo hai Aisa lag raha hai jaise vo bula raha hai mujhe | STD
Chal | STD
Hum vahan jayenge? | STD
Aur koi plaan hai? | STD
Nahin | STD
To chal | STD
Chal | STD
Ek second ke liye yaar | STD
Ho gaya? Vaapas de. | STD
Haan theek hai de de. | STD
Veera	Power hai boss | BOM
Thappad maroonga | STD
Arey? | STD
Matlab khelne ki cheej thodi hai La de | STD
Achcha ek baat batao Ek goli mein aadmi khatam ho jaata hai na? | STD
Do aadmi. Ja par chale hai.. Aur jo chalaye hai Bahot buri cheej hai | WUP
Jaanti hai? | STD
Dekh rahi hoon. | STD
Yaar jhagda nahin karenge hum Haan No jhagda | STD
Tu aise na kiya kar baatein | WUP
Pher | WUP
Achcha sorry Chalo | STD
Chalo race. Ready? | STD
Ye duniya to nahin ho sakti Haan? | STD
Ye koi aur jagah hai Duniya nahin hai | STD
Ab? Ab kahan jayenge? | STD
Kya hoga? Haan? | STd
Kaha pata | WUP
Really Kahan hain hum? Kahan jayenge? | STD
Ye le paani pee le thoda sa | STD
Abhi so ja, theek hai? | STD
Pher kal sooraj aayega, pher hum aage chalenge | WUP
Chalenge to raasta mil jayega koi na koi hai na? | STD
Haan | STD
So ja | STD
Aise hi kisi phaad par mera ghar ho main hamesha chaahti thi | STD
To chun le koi pahad. Ye sab apne hi hain… | STD
Aur kiske hain? Apne hain, yaheen milenge jab bi aayegi. | STD
Main to chun loongi par ghar banaane ka kaam tumhaara | STD
Matlab makaan ki baat kar rahi hoon, vaise waale Ghar ki baat nahin kar rahi Filhaal | STD
Theek | STD
Chun rahi hoon haan | STD
Thak gaya? | STD
Nahin nahin | STD
Haan, iske liye khaana banaoongi | STD
Khush ho rahe hain bade | STD
Mahabir	Apne gaam aaye hain | WUP
Tum bhi to khush hone waale ho jaldi haan haan? Promise kiya hai tumne | STD
Kitni mehnat bach gayee Yehi to hai mera ghar, exactly jaisa chahiye tha. | STD
Bhook lagi hai? | STD
Haan | STD
Dus minute. Main sab kuch ready karti hoon. Jab tak tum munh-haath dho, aaraam karo. | STD
Saath hi karte hai ready | STD
Ji nahin. Ye mera ghar hai. Chalo out | STD
Arey Main andar safai to kar doon | STD
Kya hua? | STD
Ek minute | STD
Nahin nahin Kuch nahin | STD
Ye cheej ye kabhi na mil sake hai Mo ko ghar kabhi na mil sake hai | WUP
Bahot door chala gaya main Bahot door chala gaya | WUP
Maine to sochi thi saanjh hote hi laut jaoonga | WUP
Har din socha karoon vaapas chala jaoonga | WUP
Amma ke paas Bees saal ho gaye Kaha pata hai bhi ki na Amma Mar gayee ho shayad | WUP
Aur tum jaoge vaapas Ab sab theek hone waala hai, dekh lena tum | STD
Ye ka ho gaya? Main yu na hoon Main yu na hoon. | WUP
Bas main va\an khada tha Va ne haath mein bandook pakda dee | WUP
kahi chala de Bhaati, chala de Maine chala dee Aise hi Aur sab khatam | WUP
Maine bahot buri kee hai Meri koi maafi na hai | WUP
Par mere saath kaun si achchi huyi hai? | WUP
Mere saath bhi to buri hi buri huyi hai na Main bi to laadla tha Amma ka Amma | WUP
Gun kahan hai? Tumhaari gun kahan hai? | STD
Phenk dee | STD
Hato Peeche hato | STD
Khabardaar | HUM
Haan? Haan? Sab theek ho jayega sab theek ho jayega | STD
Goli kyon chalayee you bastards? Goli kyon chalayee? | STD
Veera suno | STD
Peeche peeche Maar daaloongi main | STD
Isko hopital le jaana chahiye | STD
Shoot kyon kiya? Haan? Main chhodoongi nahin Peeche hato | STD
Dekho time nahin hai. Isko hospital le jaana hoga varna ye mar jayega. | STD
Nahin Kuch nahin hoga ACP	Jaldi le jaate hain isey | STD
Haan, hospital le chalo Jaldi | STD
Bulao, bulao | STD
Suno suno Mahabir | STD
Main tumhein gaon le jaoongi, theek hai? Promise Amma ke paas | STD
Maine kaha tha na sab achcha hoga? Kaha tha na? Kuch nahin hua, sab theek hai Main bol rahi hoon na Tum dekhna | STD
Dekhiye main jaanti hoon aap kya soch rahe hain magar baat kya hai, aap nahin jaante | STD
Usey bachaana hai papa, okay? Mujhe kidnap kiya haan Magar baat vo nahin hai baat ulti hai | STD
Kya ho gaya meri bachchi? | STD
Arey kuch nahin hua hai Kuch nahin hua, main bataoongi | STD
Veera | STD
Ye kaun hai? Ye kaun hai? Doctor	Baitho, baith jao | STD
Aap log kya soch rahe hain? Haan? Mujhe kuch nahin hua hai | STD
Ye kya ho raha hai? | STD
Arey arey.? Chhodo, chhodo mujhe Arey.? | STD
Papa | STD
Aap bhi | STD
Ye injection kis ke liye? Ruko, ruko | STD
Papa please, meri baat suniye | STD
Achcha ek second, ek second ek second rukiye kuch baat hai, rukiye to | STD
ek second, dekhiye mujhe nahin, dekhiye baat suniye Arey ek second | STD
Bas bas bas | STD
Baat samajh nahin aati? Ye kya kiya? Abhi mujhe Main | STD
Ab aap so jao. Theek hai? | STD
Kamal | STD
Veera ko abhi Delhi move kar sakte hain? | STD
Body kahan hai? | STD
Mortuary mein hai sir | STD
Post Mortem ho gaya? | STD
Aap idhar aao, main injection ready karti hoon. | STD
Vinay ki mummy milna chahti hain aapse. Achche se milna, theek hai? pleasant tareeke se. | STD
Achcha har winter mein kehte hain bahot sardi pad rahi hai | STD
Aap neeche kyon aa rahi hain? | STD
Good. Aaiye, baithiye | STD
How are you feeling now? | STD
Pehle se bahot behtar lag rahi hai Manu | STD
Pahaad ke oopar ghar mil gaya mujhe | STD
Banaya maine khaana apne ghar ki safai bhi kee Phir goli chal gayee | STD
