Kya bola | STD
kisi zaheen hassaas sukhanwar ko iss udaas khoobsurat sheh ka chaaragar banaa Ameen | HUM
Badi achhi wig hai miyan | HUM
Wig nahi hai Ugwayen hai | STD
Dekhiye chhoo ke dekhiye | STD
Wah wah Aapka likha gaana suna film ka Wah wah wah | STD
Shukriya huzoor | STD
Nihayati ghatiya tukbandi hai | HUM
sahab Begum ko sunva dein | HUM
Tavajjo chahoongi khawatino hazraat Khaaksaar ka naam Munira Aslam Zia Ul Bano hai | HUM
Naam toh aise bataa rahi hain jaise khazaane ka pataa bataa raheen ho | HUM
Thode hee lamhaat mein rashk e maah | HUM
Begum Para mehfil se rubaru honay ko hain | HUM
Chand baatein jinse har mard se gaur karne kee guzarish hai | HUM
Begum se kisi bhee kism ke jismani lams se parhez karein aur aankhon ko naa takne kee hidayat dein | HUM
Begum kaagzi hain zyaada der tak koi dekh le toh nazar lag jaati hai Gehri saanse thandi aahein aur khaamosh fugaaein | HUM
Begum kee maujoodgi mein gair jaayaz hain | HUM
Aadaab | HUM
Aadaab | HUM
Nawab | HUM
Jee Nawab | HUM
Nawab Chandpur Aadaab | HUM
Aapko pehle kahin dekha hai | STD
Yaad aaye to ittala zaroor kijiyega | HUM
Hum bhi khud ko dhoond rahein hain aajkal | STD
Bas Noor Mohammad Italvi sahab kahan hain | HUM
Oh Dikh toh nahi rahe hain kahin | STD
Kanpur tak toh thay train mein | STD
Italvi sahab Hamne dekha tha Intezariyon kee fehrist yoon toh kaafi lambi hai magar ab aakhiri lamhe mein kisi achhe shayar ka milna zara mushkil hi hai | HUM
Nahi jee apne Jaan bhai hain na | STD
Saare shaayaron ki aisi taisi kar sakte hain compteesan mein | STD
Nahi nahi ye mazaak kar raha hai | STD
Aap kar rahain hain mazaak Liyaqat bhai | STD
Tum batao main jhooth bol raha hoon kya | STD
Abhee kal kya sher sunaya tha Kya tha woh | STD
Yahan pajame ki qeemat hai | HUM
Mujhe daaru mein paani kam de | STD
Liyaqat | HUM
saab irshaad | HUM
Irshaad irshaad | HUM
Yahan libaas kee keemat hai aadmi kee nahi | STD
Mujhe gilaas badaa de sharaab kam kar de | STD
Bahot khoob | STD
Itnay haseen sher ka matlaa bhee irshaad karein Khan sahab | HUM
Jee matlaa Kuchh khaas hua nahi hai | STD
Ham kaam hee kar rahe hain | STD
Phir bhee Irshaad | HUM
Irshaad Irshaad | HUM
Kuchh yoon saa tha | STD
Kya tha | STD
Arre bhai koi misra uchhaliye | STD
Sanwaar noke palak aabruon mein kham kar de | HUM
Lijiye  muqabla toh shuru bhee ho gaya | HUM
Dekhte hain ab kaun pehle kehta hai saani misra | STD
Sanwaar noke palak aabruon mein kham kar de | HUM
Girey pade huey lafzon ko mohtaram kar de | HUM
Sirf sher kyun diya ? | STD
Matlaa kyun nahi diya Hain ? | STD
Abbey tujhse poochh raha hoon | STD
Kyun nahi diya matlaa | STD
Hua nahi tha | STD
Toh kya paida kar ke dete | STD
Dekho Noor Mohammad Italvi kaan khol ke sun lo | STD
Shaam tak bees nai gazlein chahiye hamein | HUM
Aur aisi ke sun ke kaleja muh mein aa jaye varna tumhara bheja tumhari zaano pe aa jayega | HUM
Bees gazlein  shaam tak | HUM
Computer hain kya hum | EUP
Kahan se hongi bees gazlein shaam tak | STD
Barf | STD
Pehle harf phir barf | STD
Waah waah kya misraa hai bhai | HUM
Chup bakchod Chup | EUP
Chalo shuru ho jaao | STD
Zaraa sambhaal ke miyan | HUM
Kal thoda rehem farmaiyega aawam pe | HUM
Woh itradaan sa lehja mere buzurgon ka | HUM
Rachi basi si urdu zabaan ki khushboo | HUM
Aur main khairmakdam karta hoon adab ki iss khushboo ki nigehban Mahmudabad ki Begum Para Meerzada | HUM
Ijaazat | HUM
Irshaad | HUM
Gazal se pehle chand sher pesh karna chahoonga | HUM
Irshaad Irshaad | HUM
Yahan ek bachche ke khoon se jo likha huaa hai ussey padhein | STD
Abhi keertan tera paap hai abhi mera sajda haraam hai | HUM
Andaa machhli chhookar jinko paap lagey  Unkaa poora haath lahoo mein dooba hai | STD
Pichhle saal ke hindu muslim fasaad | HUM
mein teen qatl ke darz hain sahab ke naam pe | HUM
Aur sher suno | HUM
Miya haathi ke daant dikhane ke aur khaane ke aur | STD
Toh hazreen  Jaan sahab ki aatishbaazi ke baad main aise hee ek aur shayar ko aawaaz dena chahoonga jo ki pehli baar apnaa taazatareen kalaam le kar Begum sahiba ke dar pe haazir huey hain Chandpur ke Nawab Iftekhar Hussain Khan | HUM
Ijaazat chahoonga | HUM
Irshaad | HUM
Mukarrarr mukarrarr | HUM
Main tamaam taare utha utha ke gareeb logon mein baant doon | HUM
Kabhi ek raat woh aasmaan ka nizaam dein mere haath mein | HUM
Thak gaye | STD
Itna jaldi Bhaago | STD
Aur bhaage toh dil muh mein aa jaayega | STD
Aaney do | STD
Main wapas ghused doonga seene mein | STD
Mar jaaoonga beta kuchh taras khaa | STD
Tumne khaya tha Akela marne ke liye chhod kar bhaag gaye | STD
Bhaage kahan Ham toh apni jaan ki hifazat mein lage thay beta | HUM
Kahan hai | STD
Kya kahan hai beta | STD
Haar Haar Woh to wahin gir gaya tha na beta |  STD
Yaad nahi jab pehli goli chali thi toh hum naali mein gir gaye thay | STD
Mujhe laga tune dekha tha | STD
Nahi | STD
Haan beta | STD
Toh tum kabrastan kyun nahi aaye Mushtaq se milne | STD
Kyun aate | STD
Nunni katane | STD
Teri toh bachi hai na | STD
Bahut mazak soojh raha hai tujhe buddhe | STD
Abhi Mushtaq ko phone lagata hoon tab dekhta hoon teri hansee kahan jaati hai saale | STD
Tu Mushtaq ko phone nahi lagegya | STD
Achha kyon | STD
Kyon | STD
Mere ghagre ke pissu | STD
Mere peeche dekh | STD
Nawab sahab Alhamdulillah Sab theek hai na | HUM
Aapki naak se khoon nikal raha hai | STD
Oh Asal mein hum daud rahe thay | STD
Kisliye | STD
Kasrat ke liye | STD
Doh din se itna khaa rahe hain pee rahe hain naa | STD
Isilye lagta hai ki nakseer phoot gayi hai | HUM
Allah Chaliye haveli chaliye Hum | HUM
kuchh laga dete hain | HUM
Nahi aise hee theek ho jayega apne aap | STD
Aapki tareef | HUM
Hamare khadim hain | HUM
Naam | STD
Arrey Babban miyan naam bataiye | HUM
apna | STD
Muhlaggu | HUM
Aaiye Khan sahab | HUM
Khadimo ke kamre haveli ke peechhe hain | STD
Khaane ke baad apna lihaaf chatai leke aa jaana | HUM
Tu bhee wohin rehti hai toh aa jaoonga | STD
Laaiye | STD
Hatheli aage kijiye zara | HUM
Baeen nahi daeen | STD
Ye dekh rahe hain | HUM
Ye dil kee lakeer hai | HUM
jagah jagah se kati hui | STD
Ishq mein bahot chote khaanyi hain aapne | HUM
Aap najoomi hain | HUM
Shaukiya | HUM
Magar Chup | STD
Arrey hokar peshevaron se bhi peshevar inki zabaan ka niklaa sach hee rehta hai | HUM
Hamare baare mein aur bataen na | STD
Iski baaton mein naa jaayen aap | HUM
Ye bahot badi gapodi hai | STD
Hum aur gapodi Haan | STD
Jee bataiye na | STD
Aap zindagi ke sabse achche waqt mein kadam rakhne ko hain | HUM
Jitne bhee rog hain sab ka chaara khud ba khud ho jayega | STD
kuchh bahot hee mehengi cheez chhupaye hain aap apne paas | STD
Arrey Babban miyan apne phoon se ek tasveer toh utaaro hamari Begum sahiba ke saath | HUM
Phoon me batery nahi hai | HUM
Hamare phoon mein hai | HUM
Idhar laao phoon | HUM
Kitne ka liya | STD
Tohfe mein mila | HUM
Shaam ke baad mulaqat kee agar koi soorat ho toh | HUM
Shaam ke baad toh raat hoti hai | STD
Jee mera matlab | HUM
Aur in dino hamari raatein Yad Al jauza pe tiki hain | HUM
Yad Al jauza | HUM
Taara hai chand ke kareeb  Badi paare kee gend sa chamakta hai | HUM
Najoomi ussey dekh kar sayyaron ki jagah ka andaaza lagate hain | HUM
Tohfe wale kee ya toh jeb chhoti hai ya dil | HUM
Kaise | STD
Aise ki jab bazaar mein phoon paanch mil riya ho toh phoon toh koi free mein bhi nahi leta le | HUM
Kai dino se baadal chhaye rehte hain | STD
Aasmaan mein aaj raat agar Yad Al Jauza dikhai de toh aap bhi tashreef le aaiyega chhat pe | HUM
Kya naam bataya tha | STD
Miyan  Saleem Chaikhana yehi hai kya | HUM
Aapka naam | STD
Koi aur naam bhee de sakte thay aap humein | HUM
Poori gali mein mazak udwa diya | STD
Ye stage main darwaze ke kareeb hona chahiye | HUM
Jee magar woh toh | STD
Dekho bibi Itne bade jalse se kidnapping karna koi mazak nahi hai | STD
Itnee bheed se target ko utha ke humein jald se jald bahar nikalna hoga | STD
Ek baar ye bada darwaza bandh hua to phir koi bhi policiya peeche nahi aa sakta hai | BOM
Aur darwaze ke bahar ki police Unhe hum andar jaane se pehle hee neutral kar denge | STD
Chhupayenge kahan | STD
Advance laayi ho | STD
Jee bus doh din mein | STD
Hum interview dene aaye hain yahan aapko | STD
Bas parson bank khulte hee pakka  | STD
Arrey harami baadlon Aaj raat toh chhatt jaao | STD
Ye baadal chaand chhod ke apni nunni ki fikar karo | STD
Mushtaq bawale saand ki tarah doondh raha hoga hamein | HUM
Kyun khaamakha pareshan ho raha hai | STD
Ek baar nikaah ho jaane de hamara phir waise pachaas haar muh pe marenge Mushtaq ke | HUM
Khalu bahut mazak ho gaya chalo ab aage ka plan banate hain baith ke | STD
Tu galat darwaze pe dastak de raha hai beta | STD
Tera chor Khalu toh kab ka faut ho chuka | HUM
Chutiyapane ki baatein mat karo | BOM
Khalu Tum chor paida huay thay aur chor hee maroge | STD
Ye dekho tumhari sherwani chori ki | STD
Tumhari shaayari chori ki | STD
Ye shaayari chori ki nahi hai | STD
Itni achhi shaayari  Tumhari Ho hee nahi sakta | STD
Tujhe kaise pata ki ye achhi hai | STD
Mujhe samajh mein nahi aayi toh achhi hee hogi | STD
Chhatt raha hai chhatt raha hai | STD
Aa jaa Yad Al Jauza aa jaa | HUM
Oh Khalu Ruko bhenchod | STD
beebi Ladki chahiye thee na tujhe | STD
Likha hai milegi iss baar | STD
Apne shauhar se kaho ki bhai kee zameen ki ummeed chhod dein court mein case haar jayenge Vakeel ka paisa bachaa lo abhi bhee | HUM
Ye kya hai Nawab saab | STD
Mamooli sa nazrana hai | HUM
Qabool farmayein | HUM
Hum nahi le payenge Nawab sahab | HUM
Itnaa mehenga nazrana | HUM
Toh badle mein hum bhee aapse kuch maang lete hain | STD
Jee kahiye | STD
Kisi roz apne riyaaz mein aane ki ijazat dein de | HUM
Badi muddat hui aapka koi todaa dekhe | HUM
Jee Hum aapke naach ke mureed reh chuke hain Begum | HUM
Jisse aap ye nazrana dena chahtein woh Para toh kab ki faut ho chuki hai Nawab saab | HUM
phoon paanch | HUM
Kon sa legi | EUP
Cheeni ya amreeki | STD
Iss route kee sabhi liney vyast hain | STD
Aapke number par ye suvidha uplabdh nahi hai | STD
Gana copy karne ke liye pehle star dabaiye aur phir | STD
Chal hatt | STD
Shaam ko kya kar rahi hai | STD
Iraade kya hain tere | HUM
Nek nahi hain | STD
Toh anek hain | STD
Mere saath chal | STD
Kya khilaega | STD
Wohi jo tujhe bahot pasand hai | STD
kya pasand hai mujhe | STD
Achcha | STD
Haan main jaanta hoon | STD
chhipkali se darti hain aur noodal pe marti hain | STD
Hum zindagi mein kabhi noodle khayenge toh Shanghai mein Aur burger toh New York mein Pizza toh Naples mein varna ghar ke choolhe kee daal boti mein faut hona manzoor hai hamein | HUM
Mubarak ho | HUM
Nawabon kee nawabiyat se toh hum wakif thay magar roohaniyat pehli baar dekhi hai | HUM
Tashtari ke peechhe woh parinde hamein bhee dikhai diye thay | HUM
Saraapa dil hain aap huzoor sirf dil | HUM
Kuchh apne liye bhee bachaa rakhiye sahab Waqt kab palat jaye kisay pataa | STD
Waqt paltaa bhee toh khaahishein | HUM
thodi na palat jayengi Para jaan  Hamare bitte se dil kee bitti bitti khaahishein yaad rakhiyega | HUM
Hum bhoolna chahein bhee toh aap bhoolne denge hamein | HUM
Din raat haveli kee divaaron mein aapke bahi khaate nazar aate hain | STD
Lijiye aapne toh saray aam lappad lagaa diya gaal pe Hum pehle bhee | EUP
keh chuke hain aapse kee hamein paisa waapas nahi chahiye | STD
Lekin hamein apni saans waapas | STD
chahiye toh | STD
Hamara naam Jaan hai Para Aapke liye jaan de bhee sakte hain aur le bhee sakte hain | STD
Kahan se uthai ye khatara | STD
Uthai nahi khareedi hai | STD
Kyun | STD
Ab hum chor nahi hai | EUM
Toh kya ho | STD
Chor ke khalu | HUM
Aapke dil ne kitna thonka hai hamein pichhle do teen roz mein Aur phir aapne to kabhi sorry bhi nahi bola | STD
Ab paise kon dega | STD
Kis cheez ke | STD
Marammat ke | STD
Marammat abhi hui kahan hai | STD
Waada toh phir waada hai main zeher bhee pee jaoon qateel shart ye hai koi baahon mein sambhale mujhko | HUM
Kya hua | STD
Wo waada nahi baada hai baada | HUM
Kaise piyenge huzoor waada | HUM
Nawab sahab bas karo | HUM
Pistaul hai | HUM
uske paas maar dega | STD
Bandook haath mein ho toh sher padha nahi maara karte hain | STD
Goli chali toh tu bhee jayega Jaan | STD
Inse bol pistaulein phenk de | HUM
Pehle tum phenko | STD
Naa Pehle tum phenkoge | STD
Woh nahi ho sakta | STD
Toh phir theek hai  Khade raho aise | STD
Jaan bhai bahot zor se aaya hai | STD
Khada reh bhainchod | DEL
Jaan bhai kasam se Nikal jayega | HUM
Italvi sahab Kya kehte hain | HUM
Durust Aur unhone agar hamein chuna toh aap hamari qaid se azaad | HUM
Aur nahi chuna toh | HUM
Toh apne jism kee qaid se | HUM
Jaan Mohammad smiles benevolently | HUM
Aapko yahan aane ki ijazat kisne dee | HUM
Dil ne | STD
Chaliye | HUM
Nahi Aap wapas aaiye | HUM
Jee | HUM
Jee Waapas aa jaiye Raqs mein | HUM
Dekhiye aapko kuch galatfahmi | HUM
Kyun khud pe itna zulm dha rahi | HUM
hain aap | HUM
Jagaye saari raina Nigode naina churaye chaina yaad hai | EUP
Wajah jaane bina hum hilenge nahi | HUM
yahan se Begum  Kyon aapne uss Para ka qatl kar diya jiski har saans nach thee Kahan gayee wo Para | HUM
Jise humne pachchees baras pehle | HUM
dekha tha  Bhopal mein | HUM
Town haal aaditorium ke manch par | STD
Aapke guru Birju Maharaj bhi aaye thay | STD
Aap uss shaam naachte naachte khud naach ho gayee thee | STD
Kahan hai woh Para | HUM
Kab tak andhere mein chhupega | HUM
buddhe Main bhee yahin baitha hoon Subere tere nau lakh tukde kar ke cheel kauvvon ko breakfast mein khilaunga  | STD
Sun raha hai | STD
Aise kauvvon kee tarah kaaen kaaen | HUM
karega toh kabhi nahi sununga Saari tameez tehzeeb itvaar ke penth mein bech aaya hai | HUM
Phoon pe kyun baat kar rahe ho | HUM
Babban looks around and spots Khalujan sitting on top of a minaret | HUM
Teri incoming toh free hai  paise | STD
hamare lag rahe hain Hum Nawab hain ladte bhee hain toh adab se | HUM
Jhooth kyun bola tumne | HUM
Jhooth kahan bola  Haan  sach nahi | HUM
bataya | STD
Tumne bola tha kee tum naali mein giray thay aur haar wohin gir gaya tha | STD
Sach  Haar wohin gir gaya tha  Phir hum naali me se gir ke uthe aur haar phir utha liya | HUM
Tum neeche toh aao main tumhe duniya se utha doonga | STD
Dekh Sharafat dekh tu meri | HUM
Chahta toh sote mein halaak kar deta tujhe par main tujhe pyaar karta hoon apne bete kee tarah | HUM
Tabhi mujhe chhakka banane ke liye | STD
chhod aaye thay | STD
Chhod aaye thay chhod aaye thay Chup Aur bas sun | STD
Aadha ghante se oopar ho riya hai  Kahin guzar toh nahi gaye Hakeem sahab | HUM
Muaamlaat ka taalluk dil ki | HUM
shiriyaaniyon se hai  Gamzadaa ho barkhurdaar  bachpan kee koi chot koi qadeem afsos | HUM
Khush o khurram raho miyan wohi tumhari dawa hai | HUM
Tum mareez e ishq ho  kahin dil vil lagao saari kanpkanpi gaayab ho jayegi khud ba khud | HUM
Main aaj tak sirf doosron ke liye | STD
jiya hoon  Kabhi abba  kabhi teri khala kabhi Mushtaq bhai kabhi jiji aur phir tu Apne baare mein toh kabhi socha hee nahi | HUM
Phir khayal aaya ke jaate jaate ek baar toh apne liye jee lo Iftekhar miya | HUM
Main khud ko khush nahi rakhunga toh kisi ko khush nahi rakh sakta Tujhe bhi nahi Samjha | HUM
Aur hamari nunniyaan Unka kya hoga | HUM
Haar tohfe mein diya hai humne | HUM
Lekin haar koi chori kar le toh hamari zimmedari thode hee hai | HUM
Aur phir hamne suna hai Begum kee | HUM
tijori dus naulakhe aur hazaar sonay kee asharfiyon se bhari hui hai | HUM
Salaam waleikum Main Nawab sahab ko dhoond raha tha | HUM
Raat ki sair pe nikle aur abhi tak wapas nahi aaye | HUM
Phir maine dekha ki ye phool daan girne wala hai | HUM
Main dauda tak bak tak bak aur dekho tootne se bacha liya phool daan | HUM
Toot jaata toh kya hota bhala | HUM
Bhadaam Kar ke bajta itne sannate | HUM
mein toh sab jaag jaate na pagli | HUM
Kismat hai teri ki sab soye hain | HUM
Bus mujhe chhodkar | STD
Toh sula doon tujhe  Hamesha ke liye | STD
Zabaan jabde ke andar rakhiyo apni varna kaat doonga | HUM
Kaat | STD
Zindagi mein pehli baar main tay nahi kar paa raha hoon | STD
Kya | STD
Kee aaj maine lee hai kee dee hai | STD
Chal utth Subah hone ko hai Jaana | HUM
nahi hai | HUM
Gaadi chaleyga | HUM
Chalaoonga | STD
Kya karega | STD
Nai nai nai nai Iss baar nai phansne wala main Na na | STD
Waise bhi tujhse hoga bhi nahi | STD
Pradeson ki police doondh rahee | STD
hai mujhe  Laakh rupye ka inaam hai mere sar pe | STD
Tere sar pe | STD
Aur nunni pe  | STD
Khalu utho na | STD
Sone de namuraad Raat bhar ka jaaga hoon Bus abhee tuk aankh lagi hai | STD
Kahan tha tu raat bhar | STD
Kaam pe | STD
Kya hua | STD
Haar churane nikla tha Heera | STD
Kya kiya toonay | STD
Kiya nahi karna hai | STD
Zabardast plan hai | STD
Kya | STD
Kya nahi Khalu kitna poochho Kam se kam paanch karod aayega apne haath | STD
Kis haramipan pe utra hai tu haan | STD
Pehle ye batao ki tum plan mein ho | STD
Kaan aankh naak sab khol ke sun le | STD
gar Begum pe zara see bhee aanch aayi toh jibah kar doonga tujhe  Samjha | STD
Pehle bhee dekha hai tumhe ishq mein andha bavla hotay huay par chootiya hotay pehli baar dekh riya hoon | EUP
Shukriya | HUM
Batane ke liye ki iss baar hum manzil ke kareeb hain Chhathe makaam par | HUM
Saat makaam hotay hain ishq mein | STD
Dilkashi uns muhabbat akidat ibadat junoon Junoon matlab chootiyapa | HUM
Jis din ussay tumhari asliyat pataa  chalegi na Khalu tumhare saaton makaamo kee batti bana ke haath me degi tumhare | HUM
Aisa kabhi nahi hoga | STD
Kyun Kyun nahi hoga | STD
Kyunki iss baar ishq sachcha hai | HUM
Hamara bhee aur unka bhee | HUM
Achha Toh jaao aur bataa do unhe | HUM
apni sachchai | STD
Jaao | STD
Haan  toh jaunga na | STD
Toh jao na | STD
Haan toh jaa raha hoon na | STD
Paani garam toh honay de | STD
Aur ghumao Aur thoda Darwaze ke paas | STD
Bibi Para jaan nazar nahi aa rahi | HUM
hain kahin | HUM
Subah se talaab pe baithi hain | HUM
peechhe Akele | HUM
Tum kya taad rahe ho be  | STD
Chalo woh dariyan uthao wahan se | HUM
Jalsa khatam honay mein ab kuchh hee din reh gaye hain | STD
Poora zila aapke faisle ka muntazir hai | HUM
Kuchh sachchaiyaan hain faisle se pehle jinhe aap tak pahunchana lazmi hai | HUM
Hum jo nazar aate hain  woh hai | HUM
nahi Hamne nakaab pehen rakha hai nawabiyat ka | HUM
Hamein toh pehle se hee shaq tha janaab kee aap dil se nawab nahi hain | HUM
Nahi aap galat samajh rahi hai | HUM
Hamne jhooth bola tha kee hum nawab hain | HUM
Magar sach chhupa bhee nahi paaye | STD
hain aap Aap shayar hain sufi sachche | STD
Begum aap samajhne kee koshish | HUM
karein | HUM
Hum chor reh chuke hain peshevar | HUM
Jaante hain hum | STD
Hamare guzre huey | HUM
kal mein seindh lagai hai aapne | HUM
Hamein dard se azaad karane mein kis chor ka haath hai hum jaante hain Iftekhar | HUM
Aaj pehli baar hamein apne naam kee awaaz itni meethi lagi hai | HUM
Haramzade Kutte Jis thali mein khata hai usee mein chhed karta hai | STD
Tujhse kaha tha maine ki agar Begum | HUM
par zara si bhee aanch aayee to tujhe jibah kar doonga main | HUM
Lag rahee hai yaar Ruko toh Meri | HUM
Maloom karo kaun hai behenchod | HUM
Kanpur Meerut Dehradoon Haryana sab jagah phone laga | HUM
Kisne Jaan Mohammad ke ghar mein daaka dalne ki himmat ki hai | HUM
Gaon mein pata karo kisi ne agar | STD
gaadi number note kiya ho toh | STD
Kab posting hui hai teri yahan | STD
Aap itmenan rakhein Jo bhee hai | HUM
jaldi pakda jaayega | STD
Hum saare phones tap kara rahein hain | STD
jaise hee firauti ke liye phone | STD
aayega kidnappers ki location pataa chal jaayegi | STD
chhod raha hoon warna tere gaal pe mere hatth chhap gaye hote ab tak samjha | STD
Apne aap tu kuchh nahi karega | STD
Kuchh bhee  Kuchh pata chale to mere paas aana Jo karoonga ab main karoonga | STD
Samjha | STD
raand | STD
Yahan sabne nakaab pehen rakhe hai | HUM
Ye tumhari jaan e hayaat ne bhi | HUM
Ye jalsa ye muqabla shauhar kee talash nikaah sab drama tha | HUM
Issey paisa chahiye jo tumhare paas hai nahi | HUM
Par issey kaise pataa chala ke mere | HUM
paas paisa nahi hai | HUM
Maine bataya Sori | HUM
Dekho jab mujhe inn logon ka plan pataa chala | STD
Haan Muniya aur ye dono partner | STD
hain  Tumhari aur meri tarah | STD
Main tera partner nahi hoon | STD
Jaan Bhai | STD
Haan Dus | STD
Jitni teri hone wali Begum ke haathon mein ungliyaan hai | STD
Aur lakh nahi karod samjha | STD
Jee samjha Kahan pahuchana hai | STD
Woh bhee bataa denge pehle intezam | HUM
Sab theek ho jaayega Chup kar bus | STD
chup Sab theek ho jaayega | STD
Guess kar mere paas kya hai | STD
Idhar dekh | STD
Dekh na | STD
Paagal ho gaya hai | STD
Kon see tareekh ke ticket karvane | STD
Dekh Ye mumkin nahi hai | HUM
Ab kuchh nahi ho sakta | STD
Main chhate maqaam par hoon | HUM
Wahi Jisme maqaam hote hain | HUM
Dikashi Uns Mohabbat Aqeedat Ibadat Junoon | HUM
Oye Bahar aa | STD
Baad mein aana abhi waqt nahi hai | HUM
Dekh Mujhe mujhe ishq ho gaya hai tujhse Sachcha ishq | HUM
Dekh bhai | STD
Hamein maaf kar hamse galti hui jo tere saath sex kiya  Ye ishq vishq ka naam leke rooh mat kanpaa hamari | HUM
Meherbaani kar aur baksh de hamein | HUM
Apne ullu seedha karne ke liye | STD
natak kiya tune mere saath | STD
Haramzadi | HUM
