Ek rikshawalle ko dhoond raha hoon. Umr hogi kuch pachees-chabees saal. Patla sa hain, daadi baniye hui hain. | STD
Maine aisa to nahin kaha. Main Adil Hussein ko freelance reporter ke taur pe jaanta hoon. Humara network aksar freelancers se stories leta hain. | STD
To phir aapke network ko is kahani par jump karna tha! Aapne ise air kyon nahin kiya? | STD
Kyonki yeh story humare paas aayi hi nahi! Mujhe iske bare mein agle din pata chala, jab paper mein chappi. | STD
Thankyou Mr Nayyar, just one more question. Doosre reporter Ashu Misam ko kabse jaante hain aap? | STD
Ji, main uss naam ke kisi reporter ko nahi jaanta. | STD
Mr Nayyar tajub ki baat hain ki Ashu Misam ke naam ke reporter ko koi nahi janta. Your honor, is naam ka aadmi na to police records mein hain, na media circles mein, to phir AU ne Mr Siras ke charge-sheet mein Ashu Misam ka naam kyon fabricate kar diya? | STD
Mr Grover, isse kya saabit hota hain? | STD
Your honor, is sting operation ka uddeshya kabhi ‘Breaking News’ thi hi nahi. Uss raat, ek private batcheet ke baad, Adil aur uske gumnaam saathi ne ne woh tape AU ke PRO Shadab Qureshi ko handover kar diya tha! This further proves that yeh defendents ki internal operation hi thi. | STD
Reporters ek the ya do, Mr Siras ka behaviour AU ke code of conduct mein unacceptable tha! Your honor, agar aaj shaam, courtroom band hone ke baad, kisi employee ne wahan aapke kursi par apni hawas bhujhane ki himmat ki, to kya usse punish nahin kiya jayega? | STD
Nitaji, Mr Siras’s private business didnt take place in the University classoom nor in the staff quarters. Yeh incident unke bedroom, unke private residence me hui thi. | STD
Mr Siras ke quarters university alloted hain, therefore AU is his landlord. Kya makaan malik ko haque nahi ki woh apne property par nazar rakhe? | STD
That is incorrect! Aap shayad jaanti nahi, ke ek makan-malik khud, apne kiraye pe diye hue makaan mein, bina permission enter nahi kar sakta. Nitaji, please refer to our constitutions rights, namely ‘The Right To Privacy & The Right To Dignity’. | STD
Hum is cheez ke bilkul khilaf hain. Islam mein to is nuqs ka koi wajbi shabd bhi nahi hain. Aap log TV par isko itna mushtahir kyon kar rahe hain? | HUM
Maulvi sahib, Quran mein likhe ek quisse ko daurana chahta hoon.. Ek baar kisine Caliph Omar ke kaan mein bhar diya tha, ke ek makaan ke andar, do aadmiyon ke beech, | HUM
gair-mamooli talukat chal rahe the. Ghusse mein laal hokar, Caliph ne us makaan ka darwaza tod diya, aur un do aadmiyon ko range haathon pakad liya... | HUM
Caliph ko apne ghar mein dekh, dono aadmi chauk gaye. Pehle ne himmat banakar kaha ‘Huzur, maanlijiye ki humne jo kiya woh gunah hain, magar aapne jo kiya hain, woh usse bhi bada gunah hain.’ | HUM
‘Kya matlab’ Caliph chauk gaya. Aadmi ne kaha; ‘Huzur, bina ijazat ke aap mere ghar mein kaise ghusse? Pehli galti to aapne ki hain. | HUM
Kyonki, Islam mein kisike ghar mein zabardasti ghusna, bahut bada gunah mana jata hain! | HUM
Caliph ko aakhir apne galti ka ehsaas ho gaya. Usne un do aadmiyon se muaafi maangi aur foran unka makaan chod diya. Uske baad Caliph ne kabhi bhi unhe koi takleef nahi pahunchayi. | HUM
Yeh kahani be-adbana, jhooti hain. Quran ka inhone apna hi matlab nikala hain. Main phir daurata hoon; agar har kisiko is cheez ki aadat lag gayi, to insaaniyat ki tabhahi hatmi hain. | HUM
Maulvi sahib, yeh koi zaini-tambaku nahin hain, jiski aadat aise hi lag jaaye. Yeh qudrati cheez hain, joh zamanon se chala aa raha hain. Aur Insaaniyat ki tabahi chodo, insaan ki aabaadi aaj control main nahi | HUM
Deepu? | STD
Allahabad se guzar raha tha, socha mil lu. | STD
Chot kaise aayi? | STD
Seediyon se gir gaya.. | STD
Daal kyon nahi le rahe? | STD
Tumhara haath lag gaya na. Hum log Brahmin hain. | STD
Its ok. Waise bhi aaj Triveni Sangam jaa raha hoon. | STD
Woh kya hai? | STD
Jahan teen pavitra nadiyon ka milan hota hain. Ganga, Jamuna aur Saraswati. | STD
Dharm ki baate main nahi samajhta. | STD
Arre samajhne wali cheez kaha hain? Dimag lagaai to samjho aastha gayi.. | STD
Bataiye, court mein kaisa chal raha hain? | STD
Yeh courtrooms bahut boring hoti hain. Mere father vakeel the, aur mein ‘sections’, ‘petitions’ ke baare mein sunkar bada hua. Tab bhi kuch nahi samajha, aaj bhi nahi samajhta hoon. | STD
Law ke saath mere bhi ajeeb rishta hain. Bachpan mein bahut behas karta tha. Sab kehte the vakil banega. Umar hui to law ka entrance exam diya. Place bhi mili, magar fortunately maine iraada badal diya. Daddy aaj tak us ek lakh rupay ki baat karte hain, joh unhone mere law ke chakkar mein dubaye! | STD
Ab woh tumhare career se khush hain? | STD
Ya to doctor, engineer bano, ya to Gulf jaakar dhirams kamao. Aur koi option hain hi nahi! | STD
Ek baat kahu, bura nahin maan-na. | STD
Kisike karz mein mat rehna. Khaas karke apno ke. Nahin to pata nahin chalega ki woh rishta pyar ke wajah se zinda hain, ya majboori ke.. | HUM
Aapke family mein kaun-kaun hain? | STD
Mere do bhai hain, Nagpur mein. Magar humari banti nahin. 20 saal alag rahe na? Lekin unke bacche mere bahut close hain... | STD
Tumhari bus kab ki hai? | STD
Shaam saat baje.. | STD
Tum mere saath Triveni Sangam dekhne kyon nahi aate? | STD
Kabhi khudka bachcha bhi chaha tha. | STD
Singles ke liye adoption mushkil hain? | STD
Adoption?? Nahi nahi... | STD
Shaadi ki thi maine. | STD
Jab Professor ki naukri lagi, tab. Woh mere saath Aligarh bhi aai thi. Par..baat nahi bani. | STD
Kyonki aap...? | STD
Phir wahi word mat use karna. Nahi, us wajah se nahi. Main apne kitabon mein uljha rehta tha. Woh mere se bore ho gayi. | STD
Sachmuch yeh chot girne se aai? | STD
Ji nahi. | STD
To phir? | STD
Main Jamalpur gaya tha. Irrfan se milne. | STD
Mahaul bahut kharab hain waha. Irrfan bhaag gaya hain kahin. Main bhi jaan bachake bhaga. | STD
Pata laga ki police ne Irrfan ko bahut peeta tha. | STD
Gareeb aadmi ko kyon sata rahe hain? | STD
Aapko lagta hain ki Irrfan bhi mila hua hain? | STD
Kya matlab? | STD
Aapke ghar ka taala toota nahin tha. Kisine to andar se darwaza khola hoga. | STD
Shayad maine bandh nahin kiya tha theek se. | STD
Teen locks hain. Teeno ko khula choda diya aapne?? | STD
Zaruri hain ke aap Irrfan ki baat se comfortable ho, warna woh iska fayda uthayenge. | HUM
Usko aath mahine se jaanta hoon. Accha ladka hain. Padna, seekhna chahta hain. Par gareeb hain, chaar bacchon ke saath! Ghar aata tha, kabhi khana khaa leta tha. Uski behn ki shaadi jab hui to maine madat ki thi. Deepu, meri umar mein log aksar akela mehsoos karte hain. | STD
Woh aapka ’lover’ tha? | STD
Tum log ’lover’ ke peeche pad jaate ho. Kabhi ’love’ ko samajhne ki koshish nahin karte. | STD
Tumne Allahabad ka mashoor masala-drink try kiya hain? | STD
Phir milunga. Ek aur story karne. Aapke jeet ke baad! | STD
Yahin ruko do minute. | STD
Main abhi bhi Marathi nahi pad sakta. | STD
Kholkar dekho. | STD
Court mein kuch karne ko nahin tha. Socha isse translate kar du. | STD
Main aapse jaldi milunga Professor Siras. | STD
Aapko pichle hafte aana chahiye tha na? Aise kab tak court excuse karti rahegi?? | STD
Kay karte mee? Allahabad mein busy tha. | BOM
Bagha, unlogo ko accha offer aaya hain, mall waloh ka. Aap pe case pe case dalenge jab tak aap bechne ko tayyar nahi hote! | BOM
Kashaa aahes Raghu? | BOM
Kaka. Thamba ek minute. | BOM
Motha bhau, kasha aahes tumhi? Raghu ne bataya ke tum aaye.... | BOM
Mee theek aahe. Ek raat ke liye aaya tha. Chai ki patti khatam ho gayi... | BOM
Haan, deti hoon. Vishwaas Kaka aale aahe. Party rakhi hain tumhare bhai ne. | BOM
Haan? Mere aane ki khushi mein rakhi hogi! | STD
Motha bhau, yeh kab tak chalta rahega? Tum bhai log ek doosre se baat kyon nahi karte? | BOM
Tyacha barobar bolaycha naahi! Jo maine unke liye kiya, woh sab bhool gaye. Ab woh businessmen ki tarah baat karte hain bade bhai se. | STD
Srinivas Kaka!! Tumhi kadhi aalo? | BOM
Ae Prabha, aataich aalo mee. College kaisa chal raha hain? | BOM
Thank you for the scooty Kaka. College mein sabhi mujhi se lift maangte hain! | BOM
Hmmm. Boys ko mat dena lift. Naytar tere papa merepar ek aur case kardenge! | BOM
Chala motha bhau, kabhi aao ghar pe! | BOM
Your honor, this sting was a dirty conspiracy to deflect attention from the truth. 9th February 2010 ke saare newspaper headlines, Siras ke sting operation ke baare mein thi, jabki they should have been about AU’s Vice Chancellor RK Abdurrahman. | STD
Believe me, Geet aur mere beech kuch bhi nahin hai. Bombay mein hum ek doosre ko jaante bhi nahin the. Abhi jo tumne dekha, vo ek drama tha. | STD
Ho sakta hai main bade sheher waalon ki tarah smart nahin hoon, magar aankein hain mere paas. Dekh sakta hoon main. | STD
Tumhein dikhaane ke liye hi usne ye sab kiya. | STD
Kyon? | STD
Kyonki vo | STD
Bataiye. Ye sab kyon dikhana chahegi vo mujhe? | STD
Tumhein us hi se poochna chahiye. Tum dono bachpan ke dost ho. Baat kar loge to sab clear | STD
Shh Chillana mat. | STD
Shh | STD
Yahan kya kar rahi ho? | STD
Congratulations. Tumne saara kaam kharaab kar diya. Maine itna achcha scene set kiya. Manjeet ab tak vapas Patiala pahunch gaya hota. Magar kehta hai mujhse baat karega. Akele mein. Tumne zaroor kuch kaha hoga. To main to ja rahi hoon. | STD
Kahan ja rahi ho? | STD
Kahan matlab? Main bhaag rahi hoon. | STD
Geet kabhi aisa mat karna. | STD
Main aisa kar rahi hoon. Saara kuch planned hai. Tumhein bye bolne aayi hoon. | STD
Tum abhi bhaag rahi ho? As in abhi abhi? | STD
Haan. Tum yahan rehna kuch din, araam se, phir vaapas Bombay jaana, okay? Aditya Ek minute ek minute. Tum bhaag jaogi, aur main yahan rahoonga? | STD
To? | STD
To kal Manjeet apna munh khol dega, aur ye log jinko pehle se hi shak hai ki tera-mera scene chal raha hai ye apni bhaison ke saath baandh denge mujhe. | STD
Great. To tum bhi chalo mere saath. | STD
Saath gaye to inka shak yakeen mein badal jayega, sochenge tum aur main bhaag gaye hain. | STD
So big deal. Taenu ki fark paendae? | DEL
Correct. Maenu ki fark paendae. | DEL
Chalo | STD
Roop ko bata diya hai kya? | STD
Kyon? | STD
O teri bhaag. | DEL
Geet | STD
Geet, kya kar rahi hai? | STD
Main do din mein vaapas aa jaoongi Roop. Main tujhe kal phone karoongi. Aur tujhe meri kasam, kisi se kuch kehna mat. | STD
Papa, chachaji, Geet bhaag rahi hai. Utho sab log. Vikram, Satpal | STD
Chalo, jaldi karo. | STD
Plan kya hai? | STD
Kayee options hain. | STD
Ya to hum railway station ja sakte hain, ya bus stand. | STD
Aur vahan pahunchenge kaise? | STD
Let us see. Main road se autorickshaw mil sakta hai. | STD
Unbelievable. | STD
Arey chalo | STD
Ye tumhara plan hai? Shayad main road se rickshaw milega? Tumhein zara bhi akal hai ki nahin? | STD
Mujhe maloom tha kya ki Roop humein dekh legi? Ab ruke kyon hain, chalo | STD
Ruko. | STD
Kya dekh rahe ho, chalo bhaago. | STD
Udhar nahin idhar. | STD
Main vaapas nahin jaane waali. | STD
Dekh tu bahut rayta phaela chuki hai, ab main jaisa keh raha hoon, vaisa kar. | STD
Par vapas kyon ja rahe hain? | STD
Arey, magar | STD
Main road ko bhaag rahe the. | STD
Yahan staircase hai, chat par jaane ke liye. | STD
Chhat par kyon? | STD
Tu bataegi kahan hai? | STD
Vikram jeep nikaal. Garage khol garage. | STD
Dikhe kya? | STD
Jayenge kahan? | STD
Kahan dekha tha toone? | STD
Kya hua? Haan? Kya hua? | STD
Mujhe maloom tha. Kameene ko pehchaan liya tha maine. | STD
Mera wallet laana. | STD
Ek jhalak mein pata chal gaya tha ki dono ke beech kya chal raha hai. Par tum log meri baat kahan sunte ho? | STD
Hum yahan kar kya rahe hain? | STD
Sh | STD
Then turns and kneels to the ground. | STD
Aditya Roop ne humein dekha road par bhaagte hue. Ye jeep aur motorcycle se humein aaraam se pakad lete. Abhi ye aur logon ko inform karenge, har jagah khojenge magar ghar ke andar nahin khojenge. | STD
Hmm | STD
To hum yahan wait karenge. Aur sahi time par peeche ke gate se nikal kar doosri side waali taxi stand chale jayenge. | STD
Photo waali ke saath bhaagne ki planning bhi kee thi? | STD
Kaise? Vo aisa kaise kar sakti hai? | STD
Har baat bata deti thi ye baat kyon chipaya | STD
Ye sab us kameene ka kaam hai Aditya saala makkar. Usi ne Geet ka dimagh ganda kiya hai. | STD
Ae ji Zara samhaal kar Zyada ghussa mat karo Ji dekho | DEL
Hamaare saath aa ke raha, saath roti khayee uski to main Vo mil jay ek baar, zinda nahin chhodna hai use | STD
Haan, maar daalenge. | STD
Kahan mil raha hai vo tumhara boyfriend? | STD
Manali mein. | STD
Vo tumhein lene Bhatinda nahin aa raha hai? | STD
Actually us se baat nahin ho payee hai. | STD
Please, no Please don’t tell me ki us saale ko maloom hi nahin hai ki tum apne ghar se bhaag rahi ho. | STD
Geet Kya kar rahi ho? Kyon apni zindagi se khel rahi ho tum? | STD
Kyonki ye mera favourite game hai zindagi. Tumhaara favourite kya hai? Badminton, football? Main jaanti hoon car racing, nahin? | STD
God. Mujhe lagta tha meri zindagi mein bahut problems hain. Ab is problem se kaise nikloon main? | STD
Bade selfish ho. Sirf apne baare mein soch rahe ho. Aur main? | STD
Tum kya? Ye tumhaari zindagi hai, tumhaara plan hai, tum bhaag ke shaadi kar rahi ho, main kya kar rahi hoon yahan par? Ladki bhagaane ka saara risk mere sar pe hai, log qatal karne ke liye mujhe dhoondh rahe hain, aur mujhe ladki bhi nahin mil rahi? | STD
Maine kaha tha na Roop ke saath bhaag jao. | STD
He looks at her. She is smiling mischievously. | STD
Bahut mazaa aa raha hai na? Haan? | STD
Nahin mile. Chacha railway station gaye hain. Poochne kaha hai ki police ko bataana hai? | STD
Nahin ji, police ko nahin batana hai. | DEL
Amrik Main papa ko bol doongi. Kal school hai na, chalo sone. | STD
Theek hai tayaji. Main bus stand ja kar check karta hoon. | DEL
Ye mera mobile le ja. | DEL
Ghabrao mat Aditya. Sab theek ho jayega. Tum dekhna. | STD
Tum mujhe console kar rahi ho? Main ek flight loonga aur is sab se bahut door chala jaoonga, tumhaara kya hoga? Jis tereh se tum apni life ko handle kar rahi ho, Geet, tum bahut bade problem mein pahns sakti ho. Do you realize that? Sirf hansi, khel tamasha nahin hoti yaar life. Life mein serious hona hota hai. | STD
Tum to life mein bahut serious the Aditya. Kya fayda hua? Bahut bade problem to tum bhi pahns gaye na? | STD
Aage kya hone waala hai, uspar kisi ka control to hai nahin. To aise mein main vohi karti hoon jo mera dil kehta hai. Kal ko main kisi aur ko blame nahin karna chahti ki ji tumhaari vajah se meri life kharaab ho gayee. Meri life jo bhi hogi, mujhe pata hoga ki meri vajah se aisi hai. To I’ll be happy. | STD
Funda zyada ho gaya? | STD
Ye jo waqt hai na jo hum abhi kaat rahe hain, yahan? Ye bahut achcha time hai. Dekhna, aage chal kar hum is waqt ko yaad karenge, aur hansenge. | STD
Main bahut jaldi vaapas aa jaoongi. Shaadi ka sign karte hi main Anshuman ke saath yahan aakar inke pairon pe gir jaoongi. Daantenge, taane maarenge phir maan jayenge. | STD
Chalo | STD
Sach batao. Kya main theek kar rahi hoon? | STD
Nahin. Tum theek nahin kar rahi ho. | STD
Par tum hi ne kaha tha jab koi pyaar mein hota hai to sahi-ghalat nahin hota. All is fair. Aur aaj agar main apni ma ko samajh sakta hoon, to ghabrao mat, kal tumhaare parents bhi tumhein samajh jayenge. | STD
Vo dekho, Anshuman Anshuman Udhar dekh raha hai. Chalo She turns to Aditya in full glee. He is looking straight at her. | STD
Bye. | STD
Kya? | STD
Hamesha aisi rehna. | STD
Arey us se mil to lo. | STD
Geet. | STD
Aap log mil kar mujhe peetne waale ho kya? | STD
Kyonki kaam maine pitne waala hi kiya hai. Main jaanta hoon ki aap mein se har aadmi mujhse ghussa hai. Aap soch rahe hain ki main achanak kahan chala gaya tha. Aapko javaab dene ke liye Raghav aur maine ek bahut achchi kahaani banayi hai, absolutely convincing, magar aap logon ko dekh kar mujhe lagta hai ki main sach hi bol doon. | STD
Main bhaag gaya tha Bina plan kiye main is office se, is sheher se chala gaya. Us waqt mujhe ye nahin pata tha ki kahan ja raha hoon, sirf ye maloom tha ki kya peeche chhod raha hoon dad ki death ke baad company ke problems, meri mother ki legal notices, loans, girta hua stock mere kuch personal issues Mere dimagh ne kaam karna band kar diya aur bina soche, bina kisi ko bole, main yahan se nikal gaya, chalta raha aur in short, main bhaag gaya. | STD
Aur ye kuch din jo main baahar raha hoon is duniya se door, anjaan logon mein ismien maine seekh liya ki zindagi utni hi mushkil hoti hai jitni aap usey banaate ho. To main vaapas aa gaya hoon, zindagi ko aasaan banaane apne liye, aur aapke liye. Mujhe ab bhi nahin pata hai ki main kaun se methods use karoonga, magar ye pata hai ki ek maheene ke andar is company ki saari problems ko attack kar ke khatam kar doonga chahe mujhe kisi bhi extent tak jaana pade. Is waqt mujhe aap ka saath chahiye, aur mera vaada hai, ki jab tak main zinda hoon main aapke saath hoon. Aap mein se har ek ke saath khada hoon. Aap sab mere dad ko pyaar karte the. Vo hain kaheen par, dekh rahe hain humein. Unko dikha dete hain ki hum unki company ko vahan le jayenge jahan vo khud bhi soch nahin sakte the. | STD
Ab main unse milne ko taiyyar hoon. | STD
Mrs Khanna does not want to entertain any settlement at this stage. She is here only to honour the request for this meeting. Unka khayal hai ki Mr Aditya Kashyap ne bahut hi inappropriate tareeke se behave kiya hai. Humne faisla kar liya hai ki is company par Mrs Khanna ke claims ka faisla ab court mein hi hoga. | STD
Ji? | STD
Ye hai claim, right? Aapki client ne mere father ke saath apni saari zindagi is company ko banaane mein laga dee. Dono ne saath mein naukri chhodi, saath mein ek kamre ka office liya tha, aur saath kaam kar ke itna bada empire banaya. Iske harjaane mein (showing paper) kya ye paanch item ka claim kaafi hai? | STD
Kyonki ko main ise sign karne ko taiyyar hoon. | STD
Mrs Khanna. Aapne, apni personal life mein, jo bhi kiya apni family mein, apne ghar mein uska is company se koi lena-dena nahin hai. Uski vajah se main aapki zindagi bhar ki mehnat aapse nahin cheenoonga. Ye company jitni meri hai, utni hi aapki hai. Ismein aapki vohi jagah hogi vohi power aur responsibility hogi jo paanch saal pehli thi. | STD
Raghav, paperwork taiyyar kar do. I want to sign in one hour. | STD
Sir maine unko brief kar diya hai. They are asking for a week. They are in your chamber. | STD
Hi. Teen achche log chahiye mujhe apni personal team ke liye three tigers and we will take on the world. Get me the best, I will give them the best. No one week. Two days. Bye. | STD
Raghav. | STD
Raghav, ye letter saare board members ko bhej do. Monday ko Board Meeting call kar raha hoon. | STD
Mujhe unki shaklein dekhni hai jab unhein pata chalega ki mummy company mein vaapas aa gayee hai. The stage is set. We will crack them. | STD
Addy | STD
Hmm? | STD
Kya hua? | STD
You tell me kya hua. Manali gaye the, right? Jai baba bholenath kiya tha vahan? | STD
Correct. Yehi baat hai. | STD
Kuch to baat hai. Aur baat serious hai. Mujhe dar hai ki jis tarah se tum ja rahe ho, tum actually saari problems khatam kar doge yaar. I mean aaj kal ek din mein itna kaam kar rahe ho jitna chhe maheene mein nahin kiya karte the. What’s wrong with you? Tumhien apni reputation ka khayaal hai ki nahin? Kya, ho kya gaya hai tumhein? Haan? | STD
Sir calling cards ka concept western countries mein to hota hai, khas kar ke India Calling Cards. Par India ke andar calling cards ka vichaar aapko kaise aaya? | STD
Aap jaante hain ki hamara desh har din tarakki kar raha hai. Aaj hum pehle se zyada cheezein afford kar sakte hain. | STD
Main unki call ka wait kar raha hoon. | STD
Hum call kar dete hain unhein, doesn’t matter. What matters is that our terms are met. Meher, call Vikram Singhania, ask for a meeting tomorrow any time in the second half. | STD
Merger zaroori hai, market pehle se bahut divided hai. Aur unki expertise hai is field mein. Bus contract aise banana hai ki | STD
Kameene. Toone socha tha bach jayega. | STD
Hum kabhi dhoondh nahin paayenge tujhe? Haan? | STD
Ruko, ruko | STD
Chhodo. Very sorry chachaji. Please | STD
Sat Sri Akaal ji. Hi. | DEL
Kahan hai vo? Geet kahan hai? | STD
Dekh kya rahe ho javaab do. | STD
Usko yahan bulao. Humein us se baat karni hai. | STD
Geet yahan nahin hai. | STD
To kahan hai? | STD
Vo mere saath nahin hai. | STD
Oye bas kar yaar, khatam kar ye drama. Train par mile the hum dono, hain? Kal ke pehle to ek doosre ko jaante bhi nahin the. Manjeet ne humein sab bata diya jo usne tum dono ko dekha tha. Roop ne dekha hai tujhe Geet ko bhagaate huye. Aur ab bhi tu samajhta hai hum maan jayenge ki vo tere saath nahin hai? Hum kya gaddhe hain? | STD
Chachaji, ek minute meri | STD
Phone uthao, usko bulao yahan. | STD
Main jaanta hoon ki aap logon par aisa impression pada hai ki Geet aur main saath hai. Magar hum saath nahin hain. Kabhi nahin the. | STD
Aur jo toone uske naam se vo Calling Card launch kiya hai? Geet? Saari duniya ke saamne announce kiya hai toone. | STD
Vo is liye nahin ki | STD
Dekho beta, main samjhta hoon ki Geet dari hui hai. Hamaare saamne nahin aana chahti. | STD
Humein to samajh hi nahin aata kuch. Akal kahan hai humein? | STD
Usne tumhien mana kiya hoga. Par bete jo hona tha vo ho gaya. Ab hum tumhaari shaadi ko kabool karne ko taiyyar hain. Tum baat samajh rahe ho? | STD
Aap Geet ko bolna ki main keh rahi thi. Sab log aapko accept karenge. | DEL
Nau maheene ho gaye, uski koi khabar nahin. Tumhein andaaza hai hum kis daur se guzre hain? Javaan ladki. Hum do baar Bambai aa kar gaye. | DEL
Apna naam bhi ghalat bataya tha toone Aditya Kumar. Humein gumraah karne ke liye. | DEL
Ek phone nahin kar sakte the ki vo theek hai? Itna bhi haq nahin banta hamaara? | STD
Saari planning pehle se kee hui thi | STD
Uncle yakeen keejiye. Geet nahin hai mere saath. | STD
To phir kahan hai? Dekho... usey kuch ho to nahin gaya na... matlab ki.. kuch aisi baat hai to vo bhi bata do... | STD
Nahin, nahin. Aisi koi baat nahin hai. Vo bilkul theek hai. | STD
Aapko kaise pata? | STD
Haan, agar vo tere saath nahin hai to tujhe kaise pata vo theek hai? | STD
Mujhe pata hai. | STD
Hum us se milna chahte hain beta. | STD
Theek hai. | STD
Matlab vo tere saath hai. | STD
Vo abhi Bombay mein nahin hai. | STD
Hai to vo tere saath hi na? | STD
Filhaal out of station hai. Magar main use le kar ke Bhatinda aaoonga. | STD
Tussi onu nahi mainu bachaaya hai | DEL
Hun onu theek kar do bas | DEL
Sun Dekh meri taraf Aankhen khol | STD
Ab jeebh dikha | STD
Muh khol Sartaj | STD
Kuchh nahi hoga Balli ko Pakka | STD
Thank you  Madamji | STD
Tussi hero ho mere | DEL
Aur hero wero kuchh nahi | DEL
Bas koshish kar rahi hoon | STD
