Thodi savdhaani baratne mein aap hi ka faayda hai | STD
Landscapes se kyon na shuru kare | STD
nature ko canvas par utaarna aasaan hai | STD
haath bhi sadh jaayega  phir dheere dheere | STD
Nahin | STD
humko seb aur aam banaane ke baad sabse pahle landscapes hi sikhaya tha | STD
bahut aasaan hai | STD
hum portraits kyon nahin seekh sakte | STD
Aapko bharosa nahin hai maine landscapes pahle kiya hai | STD
dikhaoon | STD
Pakhi begins to draw on the easel with ease | STD
Yah mandir ke bagal mein jo khaadi shuru hoti hai | STD
dekhi hai na aapne | STD
Ye to bilkul Tumko to pata hai | STD
Mujhe bas pattiyan banana nahin aata | STD
hamesha galat banaati hoon | STD
Pattiyan Bahut aasaan hai banaani | STD
Dikhayiye | STD
Thoda hara lo aur thoda kaala aur | STD
Ye kya hai | STD
Pattiyan | STD
Ye Modern Art mein aise hi pattiyan banti hai | STD
Tum unko sikha rahi ho | STD
Ab class chalte rahne ke liye kissi ko to sikhaana hoga aur kissi ko seekhna | STD
hai ki nahin | STD
Babut badhiya | STD
banne chale rangrez pakde gaye angrez | STD
Kya bola tha maine | STD
unke andar bhi vahi kulbula raha hai jo tumhaare andar se ubal ubal kar baahar aa raha hai | STD
Mai to hamesha se painting seekhna chahta tha | STD
ab mauka mila hai to seekh raha hoon | STD
Achcha banaate hain | STD
Maine banaya hai | STD
Matlab achcha sikhaate hain | STD
Ye kaun sa department hai | STD
Aadesh par sarkaari muhar lagi hai  dekh leejiye | STD
Yah | STD
aapko East India Company ne diya tha hamare Dadaji ko | STD
Do sau saal puraana hai kam se kam | STD
Usse zyaada | STD
Ye kya kar rahe hain aap | STD
Yah hamaare itihaas ki dharohar hai jo sarkaari khaazaane mein jaayegi aur vahaan se shaayad sangrahalaya mein | STD
Yah hamaare Roychowdhury khandaan ki dharohar hai | STD
Ye aap nahin le ja sakte | STD
East India Company ne aapko jo bhi diya tha vah unka nahin tha | STD
unhone churaya tha | STD
agar aap nahin denge to hamein aapko giraftar karke lena padega | STD
Kitni baar kaha aapko  lekin hamesha taal dete the | STD
Abhi bhi waqt hai | STD
vah dobaara aayenge  baar baar aayenge | STD
jo nahin le gaye hain usse bacha lo | STD
Main hamesha itni jaldi mein hoti hoon ki baba mujhe Pakhi express bulaate hain | STD
Kya karna chahti ho tum | STD
Main likhna chahti hoon | STD
mujhe dher saari kitaabein likhni hai | STD
kabhi kabhi sochti hoon yahaan se bhaag jaoon apne Dalhousie vaale ghar mein aur vahaan baith kar likhti rahoon  likhti rahoon | STD
baahar barf girti rahegi aur andar main | STD
Likhti rahogi likhti rahogi  | STD
Bahut sundar jagah hai Dalhousie | STD
aur jab barf padhti hai na  thand mein Bahut mazaa aata hai | STD
Vahaan pe ek raja ka mahal bhi hai na | STD
Hahn  Jandrighat Mahal | STD
Unke Raja ke paas kitna kuch hai  Baba se dus guna zyaada | STD
Aur unke paas ek bahut keemti Ganesh ki puraani murti hai | STD
Sach mein | STD
Hahn | STD
khaalis sone ki Paanch sau saal purani | STD
Tum ye sab jo khudaai dhoondai karte ho tumhe achcha lagta hai | STD
Mujhe yahi hai jo aata hai | STD
Jo karta hoon uske alaava kabhi aur kuch kiya nahin | STD
Agar kabhi mauka mille kuch karne ka to kya karna chahoge | STD
Bataao na | STD
Ek baar marne se pahle Chandratal dekhna chahta hoon | STD
Vah kahan hai | STD
Manali se bahut aage  Himalay ke beechon beech  Neela hara paani | STD
Aur zara si bi awaaz nahin Bilkul bhi nahin | STD
Nahin | STD
Aur | STD
Ek aisa masterpiece paint karna chahta hoon jisse log yaad rakhein | STD
Sach mein | STD
Kissi ko bataana nahin | STD
Aur bataya toh | STD
Aap ko ye khandar  puraani murti  puraane mandir in sab ke ilaava kuch samajh mein nahin aata na | STD
Kya hua | STD
Bahut bahut dhanyavaad karna chahta hoon aapka | STD
Aap mujhe sharminda kar rahe hain | STD
Main kabhi usse akele jaane nahin deta | STD
kab pata daura aa jaaye | STD
vah bol ke thodi na aata hai | STD
saavdhan  main aa raha hoon | STD
Kabhi bhi koi bhi zaroorat pade maang leejiyega  jo chaahe | STD
hum denge hamaara vaada hai | STD
Pakhi achchi ladki hai | STD
Aur jaate jaate tumhe uska dil todna padega | STD
Tum todoge | STD
todna to padega hi na | STD
Usse itne sapne mat bunaane do ki jab tum jaao vah marr hi jaye | STD
Aur agar main ye kahoon ki mujhe Pakhi se vaakai pyar hai to | STD
Pyaar karne ki suvidha aapko nahin hai Shrivastav sahab | STD
Aap pyar mein badkismati ke mulaajim hain | HUM
aapko pyar karna ho to anumati leni padegi | STD
Aur anumati vah kathordil chacha aapko denge nahin | STD
Neeche jaakar ek is taraf seedha khodna hai  doosra theek ulti disha mein | STD
pahle ulti disha mein khodo aur saari saari mitti baahar nikaal kar khaali karo | STD
Memsahib | STD
Aaj aap class mein nahin aaye | STD
Hahn  hamaara kaam khatam hone vaala hai | STD
samay bhi kam bacha hai  isliye | STD
Aap chaho to hum yahaan bhi seekh sakte hain | STD
Nahin    yahaan nahin | STD
Koi baat nahin | STD
to kal aap aayenge na | STD
Kal | STD
Nahin | STD
Parson | STD
Tarson | STD
Narson | STD
Agle hafte | STD
Agle hafte hum vaapas jaa rahe hain | STD
Koi baat hai jo aap kah nahin rahe hain | STD
Kuch galat hua hai humse  Naraaz hain aap | STD
Nahin    Pakhi ji  kaafi kaam hai yahaan | STD
mere log mera moonh dekh rahe hain | STD
Main bhi to vahi kar rahi hoon | STD
Behtar hoga aap jayiye | STD
Behtar hoga aap mar jaayiye | STD
Kam kar len | STD
Tum aisa kyon kar rahe ho mere saath | STD
Kya ho gaya hai aaj tumhe | STD
Hamein kya ho gaya hai | STD
Aapko kya ho gaya hai | STD
Aisa kyon kar rahe hain aap mere saath | STD
Jaise ki aap humse milna hi nahin chahte ho | STD
Hamara koi maayna hai aapki zindagi mein | STD
Kuch mahsoos hota hai aapko hamaare liye | STD
Jo samay humne sang mein bitaaya | STD
Vah Tumhe painting seekhni thi | STD
Aur kya sikhaayi aapne | STD
jab aapko aata hi nahin tha painting karna to kyon hahn kiya aapne | STD
Tabhi mana kar dete | STD
Aur vah raat | STD
Kyon | STD
Aap mujhse pyaar karte hain Varun babu | STD
Mera dil rakhne ke liye hahn bol deejiye | STD
Majdooron ke jaane ke baad hum Iss disha mein mein khodenge | STD
jo mitti yahaan se niklegi vah yahaan jaayegi | STD
teen raaton mein hamein | STD
Vah humse pyaar nahin karte Devi | STD
Vah jhoot bol rahe hain | STD
Itna mat socho | STD
jo kiya sahi kiya | STD
Mere sar par mandraate mat raho | STD
meri antaraatma ban ke  So jaao | STD
Hamaari gaadi lene aa rahein hain kal | STD
Kolkata ke ek laatsahab ko bechi hai | STD
Duniya badal gayee hai Varun Babu | STD
aap logon ki behtar ho gayee hai  hamari khatam ho gayee hai | STD
Itni gehri aadat ho gayee thi iss zindagi ki ki aapke  Majumdar ke saavdhan karne par bhi lagta nahin tha ki zamindari lutne ka matlab sab chala jaayega | STD
aap log angrezon se aazaad ho gaye  hum aazaadi se barbaad ho gaye | STD
Abhi bhi bahut kuch hai aapke paas | STD
jiski antarashtriya bazaar mein kaafi keemat hai | STD
khareeddaar abhi bhi ghoom rahe hain chaaron taraf | STD
Sarkar hamein barbaad karna chahti hai kyonki unhe lagta hai hum angrezon ke dost the | STD
hum majboor the | STD
Aazaad Hind fauj ko kitna paisa diya humne | STD
hamaari galti hai agar sarkar unki aazaadi ki ladaai accept nahin karti hai | STD
Jaao tum tumhe bhi apna kaam karna hai | STD
jaao | STD
Bula lo unhe | STD
Bech daalo sab | STD
bechbach ke chala jaata hoon angrezon ke desh | STD
bula lo | STD
abe Debdas    uth | STD
Usse andar rakh | STD
Tumne maara mujhe | STD
Zamindar bechne ko taiyyar hai | STD
Zamindar Babu do din baad hum bhi chale jaayenge | STD
Mahina poora ho gaya  Itni jaldi | STD
Hamaara kaam khatam ho gaya | STD
Samay hi barbaad kiya    milla kuch nahin | STD
Mat jaao | STD
Please mat jaao | STD
Kya likh rahi ho | STD
Koi kahaani likh rahi ho | STD
Kya kahaani | STD
Kahaani hai bas | STD
Kahaani mein kya hai | STD
Ladka hai kahaani mein | STD
Aur ek ladki | STD
Dono pyar karte hain ek doosre | STD
Nahin | STD
Pyar mein padne vaale hain | STD
Pata nahin | STD
Dono baat kar rahe hain | STD
Ladka kuch pooch raha hai | STD
Vah jawaab nahin de rahi hai | STD
naraaz hai ladke se | STD
Kyonki vah jaa raha hai | STD
Kyonki vah bahut savaal poochraha hai | STD
Aur ladki kya kar rahi hai | STD
Vah usse bata rahi hai ke itne savaal mat poocho | STD
To usne savaal poochne band kiye | STD
Vah bewakoof hai | STD
usse bolne par bhi kuch samajh mein nahin aa raha hai | STD
Usne ladki ko bataaya  ki vah kitni sundar hai | STD
ki usse sundar duniya mein koi nahin hai | STD
Nahin | STD
Aur ladki ne ladke ko bola ki vah duniya mein sabse zyaada usse pyar karti hai | STD
Nahin | STD
Phir vah kab bolegi | STD
Kab bolegi | STD
Subah ho gayee | STD
mujhe jaana hai | STD
Pakhi bete | STD
Usko bolo mujhse milne ko | STD
Tum jaao | STD
Aur darwaaze band kar do | STD
Vaapas kab jaa rahe ho | STD
Parson | STD
Kabhi humne tumhaare Ma Babuju ke baare mein nahin poocha | STD
Mere Ma Babuji nahin hai | STD
Mujhe yaad bhi nahin vah kaise the | STD
mere chacha ne mujhe paala  padhaya | STD
saara kaam sikhaya | STD
Jo bhi main jaanta hoon sab unka sikhaya hua hai | STD
Hamaara department bhi vahi chalaate hai | STD
Vah kahan rahte hain | STD
Kalkatta mein | STD
Unse mil sakte hain hum | STD
Kya baat hai | STD
Vah nahin milenge | STD
Kyon | STD
Vah manaa kar denge | STD
Kya mana kar denge | STD
Unko pata chala Pakhi ke baare mein to mujhe goli maar denge | STD
Zamindari to ab chali gayee hai | STD
Jo sarkar chhodegi ya tum bikvaaoge usske alaava Pakhi hi ek hai jo hamara hai | STD
Kal raat bhar vah tumhaare saath thi aur hum uske kamre mein uska intezaar kar rahe the | STD
Hamaare yahaan nahin hota jo tum dono ne kiya | STD
kahin bhi nahin hota  Aur jab hota hai | STD
Main Pakhi se shaadi karoonga | STD
Main bas chacha ko nahin bata sakta | STD
Hum shaadi karke kahin aur chale jaayenge | STD
Main Pakhi ko bahut pyaar karta hoon | STD
Main poori koshish karoonga usse khush rakhne ki | STD
Main jaan laga doonga lekin usse dukh nahin pahunchne doonga | STD
agar aap anumati dein to | STD
Main jaanta hoon pakhi tumhaare saath khush rahegi | STD
Abhi bhi Zamindar bula sakta hoon na apne aap ko | STD
Manikpur mein to hamesha hi Zamindar rahenge aap | STD
Theek hai phir | STD
Zamindar Soumitra Roychowdhury aapko apni suputri saudaamini Pakhi aur Varun Shrivastav ke vivaah mein saadar aamantrit karte hain | STD
Ab aamantran chapvaane ka samay to hai nahin abhi | STD
chaar ladkon ko bhej deejiye bicycle par | STD
hamari taraf se sab ko nyauta dene  Aur doctor sahab  daakbabu  daroga ji ko aap khud hi jaakar aamantrit karen | STD
Aap itne taiyyar hokar kahan jaa rahe hain | STD
Ja nahin raha hoon  koi aa raha hai | STD
Koi jalsa ho raha hai | HUM
Hamaari beti ki sagai hai | STD
Wah    badhai ho aapko | STD
kin mahanubhav ko apni beti de rahe hain | STD
Tum vivaah kar rahe ho  Pakhi se | STD
Sagaai | STD
Kya baat hai Varun  Kya chhupa rahe ho | STD
Kuch nahin | STD
Kuch to hai jo tum nahin kah rahe ho | STD
Bajpai ji ko kya bataaoge | STD
Pata nahin | STD
To phir sagaai kyon kar rahe ho | STD
Usse poora hi khatam karke jaane ka iraada hai | STD
Sagaai kahaan hai | STD
Mandir mein | STD
Kab | STD
Kal | STD
Aapko sagai samaroh tak rukna chahiye | STD
Varun ko bhi achcha lagega | STD
Zaroor rukta Zamindar babu  lekin jahaaj pakadna hai Bajpai ji | STD
Bahut shubkaamnaayen Varun sahab humne suna | STD
Cigarette hai | STD
Ek jalaao | STD
Beta  paise ki baat main nahin kar paoonga | STD
Tum aur Majumdar hi sambhaalna | STD
Main chaloonga | STD
abhi nikloonga to subah hote pahunchunga | STD
Bahut achcha | STD
jaisi marzi aapki | HUM
Agar burra nahin maane to Inko gaadi tak saath le jaane ki ijaazat chahoonga | STD
Shauk se Bajpai sahab | STD
Kya ho raha hai | STD
Sagai kar raha hoon | STD
Phir uske baad | STD
Ghadhaa ghaas se rishta bana lega beta to khaayega kya | STD
Chacha kabhi na kabhi shaadi to karni hi hai na | STD
Beta maine to nahin ki shaadi | STD
Aur agar maine kar li hoti to tum sab ko kaise paalta | STD
Main jaanta hoon aapne hamein paala  nahlaaya dhulaaya  khilaya bada kiya | STD
aapne jo kaha maine bhi kiya | STD
Pahle aap se kabhi kuch nahin maanga | STD
Bata sakoge tum usse ki tum kya karte ho yahan kyon aaye ho | STD
Kal Suraj ko police ne maar diya Bareilly mein | STD
Kaise | STD
Usne bhaagne ki koshish ki | STD
Do betiyan thi uski  Ek beta tum to jaante ho | STD
Ye zindagi hai hamaari  Jo hum jeete hain | STD
Chaubees ghante  Dono peher  Poore saal | STD
Ye dena chahte ho usse | STD
Baaki tum azaad ho  Tumhaari zindagi hai jo karna chahte ho karo | STD
Nakli  Sab ke sab nakli hai | STD
ek note asli nahin hai | STD
Un logon ka ek bahut bada antarrajeeya giroh hai | STD
Bajpai jinka sardar hai jo khareeddar banke aaya tha | STD
